id,year,region,female,age,edu,married,child,norm_trad,wage,income,housework,reform_year,policy,target_mother,child_exp,savings,leisure,negotiate,satisfaction,self,ask
78,2019,8,1,38,12,0,0,3,771.0,2158505.0,107.0,2021,0,0,58003.0,30778.0,221.0,0,6,0,20717.0
79,2021,1,0,44,17,0,0,1,1446.0,2418756.0,41.0,2021,1,1,165191.0,68329.0,268.0,0,4,0,37903.0
80,2022,9,0,64,15,0,0,5,1709.0,3743740.0,56.0,2021,1,0,127701.0,104055.0,211.0,0,4,0,39189.0
81,2024,8,1,27,16,0,0,2,757.0,840497.0,84.0,2021,1,1,96430.0,21914.0,202.0,0,3,1,19165.0
82,2021,8,1,55,17,0,0,3,1341.0,1873361.0,153.0,2021,1,1,79956.0,37614.0,195.0,0,7,0,34389.0
83,2019,4,1,33,13,1,0,2,1222.0,2825973.0,150.0,2021,0,0,153428.0,66846.0,207.0,0,4,0,24467.0
84,2023,9,0,45,14,0,0,2,1027.0,1096230.0,0.0,2021,1,1,43996.0,52789.0,251.0,0,7,1,33482.0
85,2022,4,0,41,14,1,1,5,1189.0,2856583.0,117.0,2021,1,1,137451.0,53135.0,206.0,0,5,1,24442.0
86,2022,1,0,33,11,0,1,5,955.0,1949657.0,28.0,2021,1,1,125357.0,22477.0,245.0,0,6,1,25701.0
87,2018,10,1,33,13,1,0,4,918.0,2438326.0,156.0,2021,0,1,111893.0,86079.0,210.0,1,5,1,14239.0
88,2020,3,1,47,17,1,1,3,1574.0,3233478.0,216.0,2021,0,1,168691.0,79454.0,169.0,0,7,1,27739.0
89,2023,2,1,55,15,0,0,4,1499.0,2726224.0,158.0,2021,1,0,95231.0,88697.0,210.0,0,6,1,23699.0
90,2023,7,0,43,11,1,1,3,1208.0,2859032.0,77.0,2021,1,1,139186.0,80886.0,208.0,1,6,1,24743.0
91,2021,3,1,45,11,1,1,3,735.0,1421675.0,189.0,2021,1,1,117968.0,88891.0,156.0,0,6,0,23832.0
92,2023,9,0,50,18,0,0,4,1385.0,2139897.0,10.0,2021,1,1,76265.0,80327.0,238.0,0,5,1,38839.0
93,2023,5,0,33,14,1,0,2,1190.0,2629215.0,39.0,2021,1,0,123336.0,49655.0,222.0,1,7,1,19267.0
94,2020,1,1,52,13,1,0,4,820.0,1711356.0,168.0,2021,0,1,64418.0,56573.0,199.0,0,6,1,20588.0
95,2024,10,1,53,13,1,1,4,1092.0,2191943.0,243.0,2021,1,0,111865.0,44074.0,164.0,0,6,1,19817.0
96,2020,6,1,69,11,1,0,5,820.0,1684608.0,161.0,2021,0,0,71075.0,35701.0,178.0,0,5,1,21805.0
97,2019,3,1,40,17,1,0,2,1129.0,3079480.0,104.0,2021,0,0,103075.0,42515.0,225.0,1,5,0,32884.0
98,2022,7,1,39,13,1,0,4,1055.0,1927491.0,143.0,2021,1,0,72945.0,50755.0,204.0,0,4,1,23465.0
99,2022,6,0,52,17,1,0,1,1201.0,2175790.0,3.0,2021,1,1,103776.0,68507.0,240.0,1,5,1,29140.0
100,2018,1,1,53,14,1,0,2,1254.0,1653478.0,142.0,2021,0,0,70304.0,43617.0,199.0,0,4,0,42488.0
101,2023,8,1,38,17,1,1,2,1170.0,2514824.0,145.0,2021,1,0,162337.0,38610.0,174.0,0,6,0,27199.0
102,2019,5,0,40,15,0,0,1,1561.0,3138242.0,15.0,2021,0,1,150087.0,41258.0,266.0,0,6,1,32412.0
103,2023,7,0,50,16,0,0,5,1341.0,2831899.0,48.0,2021,1,0,118366.0,116099.0,240.0,1,7,1,34456.0
104,2018,9,1,35,16,1,0,1,1242.0,2539709.0,74.0,2021,0,1,84811.0,69948.0,249.0,0,7,0,33512.0
105,2023,7,0,39,15,1,1,1,1298.0,3244317.0,47.0,2021,1,1,134951.0,53757.0,211.0,1,5,1,27596.0
106,2023,7,0,45,15,0,0,5,1435.0,2948615.0,29.0,2021,1,0,164547.0,82132.0,243.0,0,5,1,22680.0
107,2023,3,0,55,13,0,0,2,1180.0,2680475.0,31.0,2021,1,0,85569.0,114772.0,283.0,1,6,0,25451.0
108,2022,3,0,37,18,1,0,2,1152.0,2815751.0,28.0,2021,1,1,125398.0,82965.0,221.0,0,5,0,29564.0
109,2021,5,1,24,12,0,0,1,1058.0,2689389.0,69.0,2021,1,0,120152.0,4472.0,259.0,0,5,0,38455.0
110,2022,9,0,23,14,1,0,4,1021.0,2002953.0,57.0,2021,1,0,74320.0,111409.0,270.0,0,8,1,41798.0
111,2019,6,1,30,14,0,0,4,1037.0,1203071.0,172.0,2021,0,1,27052.0,0.0,214.0,0,3,0,28465.0
112,2023,4,0,30,15,0,0,4,1366.0,2790659.0,39.0,2021,1,0,90051.0,64281.0,240.0,1,9,0,25431.0
113,2021,8,0,42,13,0,1,4,961.0,2300077.0,79.0,2021,1,1,103840.0,28067.0,233.0,1,6,0,31838.0
114,2021,9,1,31,15,1,0,3,860.0,2582998.0,194.0,2021,1,0,84668.0,53880.0,196.0,0,6,1,19114.0
115,2021,10,1,36,14,1,0,2,1101.0,2872445.0,167.0,2021,1,0,150729.0,82206.0,199.0,0,7,1,23515.0
116,2021,3,0,35,11,1,0,2,825.0,2707736.0,11.0,2021,1,1,118543.0,21592.0,249.0,0,7,1,18877.0
117,2018,8,0,39,14,1,1,5,1331.0,3135727.0,68.0,2021,0,1,124655.0,66729.0,201.0,0,8,0,29307.0
118,2018,6,1,59,12,1,0,5,877.0,1943005.0,166.0,2021,0,1,80679.0,76102.0,185.0,1,4,1,18242.0
119,2019,5,0,51,10,0,0,2,1203.0,1472908.0,63.0,2021,0,1,83251.0,22907.0,258.0,0,6,1,17349.0
120,2018,4,0,44,14,1,1,3,1322.0,2963648.0,65.0,2021,0,1,123112.0,34687.0,198.0,0,5,1,27008.0
121,2021,2,1,39,15,0,0,2,1374.0,2196948.0,120.0,2021,1,0,116443.0,52874.0,217.0,1,3,1,36860.0
122,2022,3,1,39,15,1,0,1,1017.0,2186355.0,138.0,2021,1,1,68744.0,54784.0,196.0,1,4,0,31369.0
123,2022,6,1,48,15,1,0,4,1125.0,2302257.0,166.0,2021,1,0,121862.0,51450.0,212.0,0,8,1,27802.0
124,2021,9,0,50,10,0,1,3,1093.0,2383267.0,93.0,2021,1,1,120191.0,28522.0,182.0,0,5,1,10737.0
125,2023,9,1,34,11,0,1,1,713.0,1414735.0,131.0,2021,1,1,90315.0,45717.0,168.0,1,7,0,29417.0
126,2021,2,0,44,18,1,0,1,1828.0,4007910.0,14.0,2021,1,0,139951.0,106254.0,253.0,0,9,0,37967.0
127,2018,7,1,22,12,0,1,1,792.0,800000.0,144.0,2021,0,1,30304.0,0.0,204.0,1,8,0,32464.0
128,2023,1,0,46,15,1,0,2,1315.0,2711997.0,16.0,2021,1,1,77253.0,46840.0,262.0,1,9,0,34276.0
129,2022,7,1,52,12,1,0,3,1273.0,3142645.0,173.0,2021,1,0,102923.0,84356.0,219.0,0,9,1,22158.0
130,2022,4,1,41,14,0,1,1,1304.0,3462224.0,103.0,2021,1,1,177870.0,54015.0,197.0,0,6,1,19373.0
131,2021,5,0,64,13,1,0,5,1351.0,3047781.0,49.0,2021,1,1,101640.0,77886.0,237.0,1,6,1,43359.0
132,2021,8,1,34,15,0,0,2,1111.0,2842242.0,87.0,2021,1,1,84767.0,101142.0,244.0,0,6,0,36729.0
133,2018,5,0,46,14,1,0,4,1182.0,2462068.0,30.0,2021,0,0,73446.0,59925.0,239.0,0,6,0,35998.0
134,2021,9,0,44,13,0,0,3,1051.0,1893231.0,34.0,2021,1,1,75642.0,24165.0,263.0,0,6,1,38223.0
135,2023,6,0,43,12,0,0,2,1009.0,2080908.0,0.0,2021,1,0,81194.0,63244.0,282.0,0,7,0,28035.0
136,2020,10,0,43,15,1,1,3,1398.0,2944803.0,69.0,2021,0,1,127846.0,60988.0,196.0,0,5,0,42294.0
137,2022,7,1,45,11,1,1,1,976.0,1795621.0,105.0,2021,1,1,130662.0,45109.0,196.0,0,4,0,23489.0
138,2018,3,0,53,15,1,0,4,1108.0,1986780.0,73.0,2021,0,0,110769.0,62193.0,225.0,1,6,1,34705.0
139,2020,8,0,59,20,0,0,1,1938.0,2932324.0,40.0,2021,0,1,167768.0,85849.0,220.0,1,5,1,40799.0
140,2021,5,1,44,17,0,1,4,1381.0,2929989.0,178.0,2021,1,1,98927.0,65381.0,164.0,0,4,0,32787.0
141,2024,6,1,53,16,0,1,3,1015.0,2012696.0,159.0,2021,1,1,86047.0,44919.0,203.0,0,5,0,32132.0
142,2019,2,0,36,14,0,0,5,1604.0,2707057.0,55.0,2021,0,1,122209.0,111539.0,222.0,1,5,0,27436.0
143,2019,2,1,52,10,1,1,2,1263.0,2420058.0,181.0,2021,0,1,106351.0,80813.0,196.0,0,6,0,29407.0
144,2020,6,0,36,11,0,0,2,879.0,1834728.0,16.0,2021,0,1,100735.0,67033.0,247.0,0,6,1,21318.0
145,2024,2,0,56,17,1,0,4,1851.0,3972024.0,35.0,2021,1,0,156199.0,95327.0,286.0,1,8,0,29185.0
146,2023,10,0,68,12,0,0,5,1293.0,1762143.0,33.0,2021,1,1,120155.0,26117.0,236.0,1,6,1,25784.0
147,2018,9,1,43,12,1,1,5,1108.0,1780558.0,185.0,2021,0,1,116387.0,66414.0,168.0,0,5,1,20610.0
148,2019,8,1,20,14,0,1,2,1039.0,2527455.0,152.0,2021,0,1,147986.0,59724.0,165.0,0,5,1,31307.0
149,2023,8,1,38,12,0,0,5,700.0,800000.0,197.0,2021,1,1,36703.0,15302.0,179.0,0,3,1,20311.0
150,2018,6,1,58,11,0,0,3,1185.0,2406743.0,172.0,2021,0,0,91799.0,54786.0,224.0,0,6,1,32135.0
151,2023,1,0,50,14,0,1,5,1429.0,3560655.0,117.0,2021,1,0,146992.0,56957.0,203.0,0,7,0,36411.0
152,2019,4,0,47,12,1,0,2,1012.0,2881217.0,97.0,2021,0,1,78195.0,92886.0,245.0,0,7,0,23396.0
153,2024,5,1,55,12,0,0,4,877.0,1947536.0,164.0,2021,1,1,123958.0,65978.0,179.0,0,3,1,20620.0
154,2020,10,1,49,12,0,1,1,992.0,2320005.0,111.0,2021,0,1,132835.0,56396.0,208.0,1,4,1,21832.0
155,2021,3,0,57,15,0,0,1,1282.0,3433554.0,0.0,2021,1,1,135549.0,80730.0,243.0,0,6,1,34948.0
156,2022,5,1,54,13,0,1,4,1196.0,1165602.0,213.0,2021,1,1,110411.0,14337.0,136.0,0,6,1,25719.0
157,2018,4,0,61,14,0,0,1,1481.0,2433632.0,32.0,2021,0,0,84418.0,13811.0,253.0,0,6,1,29039.0
158,2021,2,1,48,15,0,1,4,1274.0,2897446.0,212.0,2021,1,1,92457.0,32865.0,165.0,0,4,0,32392.0
159,2021,2,0,54,14,1,0,5,1271.0,2369156.0,33.0,2021,1,1,127105.0,44045.0,249.0,1,4,0,34477.0
160,2023,4,1,41,13,1,1,2,1077.0,2988489.0,153.0,2021,1,0,107633.0,52625.0,204.0,0,5,0,23131.0
161,2024,1,0,37,15,0,0,1,1143.0,2037723.0,34.0,2021,1,1,90426.0,60120.0,264.0,0,5,0,33532.0
162,2022,1,1,63,15,1,0,3,1281.0,2621672.0,143.0,2021,1,0,108912.0,88786.0,246.0,1,7,0,23538.0
163,2020,4,0,46,14,1,0,1,1016.0,1941463.0,12.0,2021,0,0,92588.0,48004.0,234.0,1,7,1,34793.0
164,2020,3,1,53,14,0,0,3,1042.0,1614345.0,170.0,2021,0,1,87712.0,75283.0,228.0,1,4,1,28783.0
165,2020,6,1,45,12,1,0,4,954.0,1693645.0,217.0,2021,0,1,83799.0,28649.0,218.0,0,6,1,31516.0
166,2023,1,0,38,12,0,1,2,1114.0,2320783.0,39.0,2021,1,1,136975.0,50434.0,215.0,1,7,1,20040.0
167,2020,4,1,44,16,0,0,5,1124.0,1635918.0,210.0,2021,0,0,47488.0,43597.0,156.0,0,3,0,38241.0
168,2019,5,1,60,15,1,1,2,1123.0,2928002.0,72.0,2021,0,1,142836.0,88588.0,185.0,0,6,1,33845.0
169,2020,10,1,50,15,0,0,5,1150.0,2396613.0,209.0,2021,0,0,56243.0,62262.0,179.0,0,5,1,25607.0
170,2018,7,1,25,15,1,0,1,1142.0,2855308.0,41.0,2021,0,0,153989.0,72045.0,282.0,1,7,1,26760.0
171,2018,9,1,42,14,0,0,3,1083.0,1384938.0,127.0,2021,0,1,23409.0,3292.0,216.0,1,3,1,19519.0
172,2018,4,0,64,16,0,0,5,1433.0,1729662.0,28.0,2021,0,0,61877.0,26795.0,239.0,0,6,0,27655.0
173,2023,5,1,42,16,1,0,5,1358.0,2692307.0,187.0,2021,1,1,80259.0,96457.0,192.0,0,6,1,25473.0
174,2023,5,0,24,16,1,1,2,1607.0,4772000.0,88.0,2021,1,1,190766.0,56782.0,180.0,0,8,0,29935.0
175,2022,9,0,65,14,1,1,5,1325.0,3448104.0,45.0,2021,1,0,151019.0,105508.0,235.0,0,6,1,40824.0
176,2021,10,1,52,17,1,0,4,1025.0,1817777.0,157.0,2021,1,1,69403.0,65848.0,213.0,0,5,1,19438.0
177,2023,10,0,43,15,1,1,2,1282.0,2949856.0,54.0,2021,1,0,166851.0,49552.0,254.0,1,6,1,32913.0
178,2019,8,0,40,15,0,1,4,1616.0,3452593.0,123.0,2021,0,0,154513.0,56747.0,203.0,0,6,0,38974.0
179,2024,6,0,56,15,1,0,5,1039.0,1436006.0,72.0,2021,1,1,57687.0,83431.0,250.0,0,6,1,31735.0
180,2021,6,1,38,15,0,0,4,1028.0,2535213.0,137.0,2021,1,0,97393.0,93755.0,208.0,0,6,0,32552.0
181,2024,10,1,57,12,1,0,5,908.0,1800688.0,180.0,2021,1,1,112517.0,51886.0,187.0,0,4,1,26358.0
182,2019,3,1,50,16,0,0,4,1247.0,2199260.0,205.0,2021,0,0,109696.0,58946.0,173.0,0,5,0,30594.0
183,2021,4,0,47,20,1,0,1,1778.0,3462292.0,47.0,2021,1,0,109711.0,68030.0,219.0,0,5,0,44505.0
184,2022,9,0,46,13,1,1,4,1300.0,3342270.0,60.0,2021,1,0,129963.0,76811.0,230.0,0,6,0,29039.0
185,2021,4,0,42,14,0,0,1,1249.0,1870609.0,22.0,2021,1,0,94341.0,35586.0,245.0,1,8,1,38305.0
186,2021,3,1,56,13,1,0,2,1256.0,1657315.0,108.0,2021,1,1,90840.0,49918.0,249.0,1,4,1,39759.0
187,2019,6,0,34,13,0,0,5,958.0,1885878.0,48.0,2021,0,0,49746.0,89545.0,246.0,0,5,0,20216.0
188,2020,4,1,26,17,1,0,2,1174.0,1341371.0,71.0,2021,0,1,80676.0,36724.0,230.0,0,4,0,22753.0
189,2019,9,0,51,13,0,0,2,1004.0,1656648.0,20.0,2021,0,0,50711.0,22076.0,232.0,0,6,1,30255.0
190,2020,10,1,51,13,0,1,5,700.0,2033437.0,257.0,2021,0,1,131766.0,16609.0,150.0,1,6,1,26222.0
191,2022,4,0,49,11,0,0,2,1085.0,2242547.0,27.0,2021,1,1,115725.0,60648.0,247.0,0,6,1,36992.0
192,2022,6,0,48,12,1,1,3,1353.0,3386578.0,72.0,2021,1,1,127232.0,57992.0,226.0,0,6,1,33557.0
193,2022,10,1,40,10,1,0,5,770.0,1946176.0,196.0,2021,1,1,73889.0,62849.0,189.0,0,6,1,25275.0
194,2020,8,1,53,15,1,1,3,1310.0,3993167.0,225.0,2021,0,1,154099.0,50234.0,167.0,1,6,1,39460.0
195,2024,3,0,43,20,1,1,1,1573.0,2967280.0,59.0,2021,1,1,149852.0,81531.0,244.0,1,7,1,49719.0
196,2018,6,1,39,13,1,0,4,825.0,1934066.0,193.0,2021,0,0,72593.0,27358.0,197.0,0,6,0,30737.0
197,2020,7,0,41,10,0,0,3,1054.0,1678140.0,30.0,2021,0,0,40098.0,46581.0,264.0,0,2,0,17047.0
198,2018,7,0,66,16,1,0,5,1869.0,4092601.0,55.0,2021,0,1,118385.0,86409.0,251.0,1,7,0,40040.0
199,2020,1,0,25,12,0,1,2,1195.0,2300213.0,67.0,2021,0,0,127233.0,89809.0,246.0,0,5,0,30350.0
200,2024,3,1,49,17,1,0,5,1449.0,3717622.0,173.0,2021,1,1,156273.0,96625.0,216.0,0,5,0,35291.0
201,2020,9,1,26,13,1,1,5,841.0,1678392.0,217.0,2021,0,0,89382.0,82368.0,172.0,0,6,1,20981.0
202,2024,3,1,43,13,0,1,2,986.0,2658363.0,166.0,2021,1,1,141811.0,71504.0,176.0,0,5,0,37663.0
203,2021,3,0,39,14,1,0,3,1008.0,2360970.0,25.0,2021,1,0,79161.0,91578.0,237.0,1,8,1,23539.0
204,2022,4,1,21,16,0,0,3,867.0,1544369.0,140.0,2021,1,1,77653.0,38294.0,189.0,1,3,1,31064.0
205,2021,2,1,48,13,1,0,2,1013.0,2344621.0,132.0,2021,1,1,169524.0,72993.0,247.0,0,4,0,30429.0
206,2019,2,1,40,13,0,1,4,1177.0,2429232.0,175.0,2021,0,1,142387.0,81395.0,156.0,0,6,1,20025.0
207,2023,4,0,21,14,0,1,2,1055.0,2256977.0,94.0,2021,1,0,106784.0,72049.0,216.0,1,5,0,23090.0
208,2024,9,1,53,11,1,0,3,700.0,1406564.0,142.0,2021,1,0,48145.0,58313.0,228.0,0,6,0,12192.0
209,2019,1,0,60,15,1,1,4,1370.0,2545206.0,79.0,2021,0,1,45571.0,49690.0,224.0,1,6,1,35813.0
210,2023,3,0,60,10,1,0,4,893.0,1689864.0,3.0,2021,1,0,97863.0,43304.0,250.0,0,6,1,21751.0
