female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,incomehi,ed
1,0,0,60.049999,1,1,1,0,5.4000001,8.8500004,.1,.84987998,1,15
1,0,0,38.32,0,0,0,0,5.4000001,8.8500004,.1,.84987998,0,12
1,0,0,65.870003,1,0,1,0,5.4000001,8.8500004,.1,.84987998,1,15
0,0,0,44.650002,0,0,1,0,5.4000001,8.8500004,.1,.84987998,0,13
0,0,0,57.740002,0,0,1,0,5.5,8.0900002,1.5,.88915002,1,16
0,0,0,60.380001,1,0,1,0,5.5,8.0900002,1.5,.88915002,1,12
0,0,0,62.77,0,0,0,0,5.5,8.0900002,1.5,.88915002,1,12
0,0,0,59.73,0,0,1,0,5.5,8.0900002,1.5,.88915002,0,16
1,0,0,57.060001,1,0,1,0,5.5,8.0900002,1.5,.88915002,1,16
1,0,0,58.02,0,0,1,0,5.5,8.0900002,1.5,.88915002,0,15
1,0,0,54.740002,0,0,1,0,5.5,8.0900002,1.5,.88915002,0,12
1,0,0,46.279999,0,0,1,0,6.9000001,7.04,2,.903,0,14
1,0,0,60.400002,0,0,1,0,6.9000001,7.04,2,.903,0,12
0,0,0,53.209999,0,0,1,0,6.9000001,7.04,2,.903,1,18
1,0,0,60.93,0,0,1,0,6.5,8.0900002,1.5,.88915002,0,14
1,0,0,48.439999,0,0,1,0,6.5,8.0900002,1.5,.88915002,0,15
1,0,0,45.310001,0,0,1,0,7.6999998,7.04,2,.903,0,12
0,0,0,60.220001,1,0,1,0,7.6999998,7.04,2,.903,1,12
0,0,0,56.419998,0,0,1,0,7.6999998,7.04,2,.903,0,16
1,0,0,62.27,0,1,1,0,7.6999998,7.04,2,.903,1,17
0,0,0,51.84,1,1,0,0,4.4000001,8.0900002,.5,.88915002,1,18
1,0,0,57.549999,0,0,1,0,4.4000001,8.0900002,.5,.88915002,1,16
1,0,0,57.619999,1,0,1,0,4.4000001,8.0900002,.5,.88915002,1,12
0,0,0,57.5,0,1,1,0,4.4000001,8.0900002,.5,.88915002,1,12
0,0,0,65.309998,1,0,1,0,7.5,8.0900002,.5,.88915002,0,16
0,0,0,50.619999,1,0,1,0,7.5,8.0900002,.5,.88915002,1,14
0,0,0,51.23,0,0,1,0,7.5,8.0900002,.5,.88915002,0,15
1,0,0,53.549999,0,0,0,0,7.5,8.0900002,.5,.88915002,0,14
1,0,0,48.52,0,0,1,0,7.5,8.0900002,.5,.88915002,0,12
1,0,0,43.41,0,0,1,0,7.5,8.0900002,.5,.88915002,0,14
1,0,0,57.5,0,0,1,0,7.5,8.0900002,.5,.88915002,0,14
1,0,0,51.32,0,0,1,0,5.9000001,7.0900002,1.2,1.3856801,0,15
1,0,0,36.369999,0,0,0,0,5.9000001,7.0900002,1.2,1.3856801,0,12
1,0,0,43.799999,0,0,1,0,5.9000001,7.0900002,1.2,1.3856801,0,12
1,0,0,45.139999,0,0,1,0,5.9000001,7.0900002,1.2,1.3856801,1,12
1,0,0,63.259998,0,0,1,0,5.9000001,7.0900002,1.2,1.3856801,0,16
1,0,0,51.32,1,1,1,0,5.9000001,7.0900002,1.2,1.3856801,0,17
0,0,0,44.23,0,0,1,0,5.9000001,7.0900002,1.2,1.3856801,0,12
1,0,0,42.93,0,0,1,0,5.3000002,8.0900002,.1,.88915002,1,12
1,0,0,47.599998,0,0,1,0,5.3000002,8.0900002,.1,.88915002,0,12
0,0,0,56.470001,1,0,1,0,5.3000002,8.0900002,.1,.88915002,1,13
0,0,0,64.690002,0,0,1,0,5.3000002,8.0900002,.1,.88915002,0,16
1,0,0,62.349998,1,1,1,0,5.3000002,8.0900002,.1,.88915002,0,16
1,0,0,48.959999,0,0,1,0,6.0999999,7.6900001,2.5,1.11201,0,12
1,0,0,40.279999,0,0,1,0,6.0999999,7.6900001,2.5,1.11201,1,12
0,0,0,44.66,0,0,1,0,6.0999999,7.6900001,2.5,1.11201,0,12
0,0,0,65.459999,0,0,0,0,6.0999999,7.6900001,2.5,1.11201,0,12
1,0,0,37.810001,0,0,1,0,6.0999999,7.6900001,2.5,1.11201,0,12
0,0,0,66.949997,1,1,1,0,6.0999999,7.6900001,2.5,1.11201,1,16
1,0,0,55.639999,0,0,1,0,6.0999999,7.6900001,2.5,1.11201,1,16
1,0,0,51.279999,0,1,1,0,6.5,8.0900002,3.5,.88915002,0,16
1,0,0,52.779999,0,0,1,0,6.5,8.0900002,3.5,.88915002,0,14
1,0,0,64.599998,0,0,1,0,6.5,8.0900002,3.5,.88915002,0,16
1,0,0,61.73,1,0,1,0,6.5,8.0900002,3.5,.88915002,0,16
0,1,0,50.810001,0,1,1,0,5.4000001,8.0900002,1.9,.88915002,0,16
0,0,0,44.459999,1,1,1,0,5.4000001,8.0900002,1.9,.88915002,1,12
1,0,0,41.580002,0,0,1,0,13.5,7.6900001,5,1.11201,0,12
1,0,0,40.700001,0,0,0,0,13.5,7.6900001,5,1.11201,0,12
1,0,0,39.630001,0,0,1,0,13.5,7.6900001,5,1.11201,0,12
1,0,0,54.169998,0,0,1,0,13.5,7.6900001,5,1.11201,0,12
0,0,1,38.950001,0,0,1,0,13.5,7.6900001,5,1.11201,1,13
1,0,0,62.84,0,0,1,0,13.5,7.6900001,5,1.11201,0,15
0,0,0,64.480003,0,0,0,0,8.6999998,8.8500004,1.5,.84987998,0,16
1,0,0,47.09,0,0,1,0,8.6999998,8.8500004,1.5,.84987998,1,12
1,0,0,50.950001,0,0,1,0,8.6999998,8.8500004,1.5,.84987998,0,12
0,0,0,44.459999,0,0,1,0,8.6999998,8.8500004,1.5,.84987998,1,12
1,0,0,58.889999,0,1,0,0,8.6999998,8.8500004,1.5,.84987998,1,12
1,1,0,54.360001,0,0,1,0,8.6999998,8.8500004,1.5,.84987998,0,16
1,0,0,45.290001,0,0,1,0,8.6999998,8.8500004,1.5,.84987998,0,13
1,0,0,54.169998,0,0,1,0,6.5,8.0900002,.80000001,.88915002,0,15
0,0,0,52.740002,1,0,1,0,6.5,8.0900002,.80000001,.88915002,1,12
0,0,0,60.939999,0,0,1,0,6.5,8.0900002,.80000001,.88915002,0,12
0,0,0,40.18,0,0,1,0,6.5,8.0900002,.80000001,.88915002,1,12
1,0,0,58.09,0,1,1,0,6.5,8.0900002,.80000001,.88915002,0,12
0,0,0,54.259998,0,0,1,0,6.5,8.0900002,.80000001,.88915002,0,14
1,0,0,57.130001,1,0,1,0,7.8000002,7.6900001,1.8,1.11201,1,16
1,0,0,64.980003,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,12
0,0,0,65.349998,0,0,0,0,7.8000002,7.6900001,1.8,1.11201,0,14
1,0,0,55.959999,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,12
1,0,0,61.73,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,1,16
0,0,0,56.349998,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,12
0,0,0,51.099998,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,1,13
1,0,0,39.52,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,12
1,0,0,60.75,1,1,1,0,7.8000002,7.6900001,1.8,1.11201,0,16
0,0,0,38.189999,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,12
1,0,0,51.02,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,16
0,0,0,53.650002,0,0,1,0,7.8000002,7.6900001,1.8,1.11201,0,16
0,0,0,56.349998,0,0,1,0,5.4000001,8.8500004,.80000001,.84987998,1,15
1,0,0,52.950001,0,0,1,0,5.4000001,8.8500004,.80000001,.84987998,1,15
0,0,0,63.41,0,0,1,0,5.4000001,8.8500004,.80000001,.84987998,0,13
0,0,0,66.169998,1,1,1,0,5.4000001,8.8500004,.80000001,.84987998,1,16
0,0,0,45.099998,0,0,1,0,5.4000001,8.8500004,.80000001,.84987998,1,13
0,0,0,66.949997,1,0,1,0,5.4000001,8.8500004,.80000001,.84987998,0,16
1,0,0,62.900002,1,0,1,0,5.4000001,8.8500004,.80000001,.84987998,1,18
0,0,0,52.98,1,1,1,0,7.1999998,8.8500004,.80000001,.84987998,1,13
1,0,0,62.290001,0,1,1,0,7.1999998,8.8500004,.80000001,.84987998,0,13
0,0,0,44.310001,0,1,1,0,7.1999998,8.8500004,.80000001,.84987998,0,12
1,0,0,64.110001,1,0,1,0,4.4000001,8.0900002,1.5,.88915002,0,16
0,0,0,58.619999,0,0,1,0,4.4000001,8.0900002,1.5,.88915002,1,13
1,0,0,56.919998,0,0,1,0,4.4000001,8.0900002,1.5,.88915002,0,12
1,0,0,52.669998,0,0,1,0,4.4000001,8.0900002,1.5,.88915002,0,12
0,0,0,64.830002,1,1,1,0,4.4000001,8.0900002,1.5,.88915002,1,15
0,0,0,49.900002,0,0,1,0,4.4000001,8.0900002,1.5,.88915002,0,12
1,0,0,62.549999,0,0,1,0,4.4000001,8.0900002,1.5,.88915002,1,17
0,0,0,66.489998,0,0,1,0,4.4000001,8.0900002,1.5,.88915002,1,17
0,0,0,62.139999,1,1,1,0,4.4000001,8.0900002,1.5,.88915002,1,17
0,0,0,49.200001,0,0,1,1,6.5,8.0900002,.2,.88915002,0,13
1,0,0,51.470001,0,0,1,1,6.5,8.0900002,.2,.88915002,0,14
1,0,0,62.150002,0,0,1,1,6.5,8.0900002,.2,.88915002,0,14
1,1,0,43.259998,0,0,0,1,6.5,8.0900002,.2,.88915002,0,12
1,0,0,54.540001,0,1,0,1,6.5,8.0900002,.2,.88915002,0,12
0,0,0,58.720001,0,0,1,1,6.5,8.0900002,.2,.88915002,0,18
1,0,0,57.880001,1,1,1,0,5.0999999,8.8500004,.1,.84987998,1,13
1,0,0,68.5,1,0,0,0,5.0999999,8.8500004,.1,.84987998,0,15
0,0,0,52.639999,0,1,1,0,5.0999999,8.8500004,.1,.84987998,1,15
1,0,0,37.540001,0,1,0,1,8.1999998,7.6900001,3.2,1.11201,0,12
0,0,0,63.59,0,0,0,1,8.1999998,7.6900001,3.2,1.11201,0,16
1,0,0,49.900002,0,0,1,1,8.1999998,7.6900001,3.2,1.11201,0,12
0,0,0,67.18,1,1,1,1,8.1999998,7.6900001,3.2,1.11201,0,15
1,0,0,61.02,0,0,1,1,8.1999998,7.6900001,3.2,1.11201,0,12
1,0,0,55.889999,0,0,1,0,7.1999998,8.8500004,.60000002,.84987998,1,16
0,0,0,59.240002,0,0,1,0,10.4,7.6900001,0,1.11201,0,15
0,0,0,62.98,1,0,1,0,10.4,7.6900001,0,1.11201,1,18
0,0,0,51.080002,0,0,1,0,10.4,7.6900001,0,1.11201,0,12
1,0,0,57.119999,0,0,1,0,10.4,7.6900001,0,1.11201,1,15
1,0,0,60.41,0,0,1,0,10.4,7.6900001,0,1.11201,0,17
1,0,0,44.279999,0,0,1,0,10.4,7.6900001,0,1.11201,0,12
0,0,0,53.049999,0,0,0,0,5.5,8.0900002,.69999999,.88915002,0,13
1,0,0,48.799999,0,0,1,0,5.5,8.0900002,.69999999,.88915002,0,12
0,0,0,53.59,0,0,1,0,5.5,8.0900002,.69999999,.88915002,0,15
0,0,0,39.209999,0,0,1,0,5.5,8.0900002,.69999999,.88915002,0,12
1,0,0,65.93,1,1,1,1,5.0999999,8.8500004,1.5,.84987998,0,14
1,0,0,56.080002,0,1,1,1,5.0999999,8.8500004,1.5,.84987998,0,16
0,0,0,63.130001,0,1,1,1,5.0999999,8.8500004,1.5,.84987998,1,17
1,0,0,58.369999,0,0,1,1,5.0999999,8.8500004,1.5,.84987998,0,16
0,0,0,59.91,0,1,1,1,5.0999999,8.8500004,1.5,.84987998,1,15
0,1,0,51.400002,0,0,0,1,8,9.6400003,.30000001,1.15242,0,14
1,0,1,49.09,0,0,0,1,8,9.6400003,.30000001,1.15242,0,17
0,0,0,57.490002,0,0,1,0,6.3000002,9.6400003,2,1.15242,1,17
1,1,0,45.360001,1,1,0,1,8,9.6400003,.1,1.15242,1,16
0,0,0,44.689999,0,0,1,1,8,9.6400003,.1,1.15242,0,13
0,1,0,45.84,0,0,0,1,8,9.6400003,0,1.15242,0,12
0,1,0,55.66,0,0,1,1,8,9.6400003,0,1.15242,0,16
0,0,1,35.799999,0,0,0,1,8,9.6400003,0,1.15242,0,12
0,1,0,44.240002,0,0,0,1,8,9.6400003,0,1.15242,1,14
0,1,0,51.330002,1,1,1,1,8,9.6400003,0,1.15242,1,13
0,1,0,56.459999,0,1,0,1,8,9.6400003,.40000001,1.15242,1,15
0,0,0,48.029999,0,0,1,1,8,9.6400003,.40000001,1.15242,0,12
0,0,0,63.77,0,0,0,1,8,9.6400003,0,1.15242,0,17
1,0,0,69.900002,0,0,1,1,8,9.6400003,0,1.15242,0,17
1,0,0,66.889999,0,0,0,1,8,9.6400003,0,1.15242,0,16
1,0,0,68.440002,1,0,0,1,8,9.6400003,0,1.15242,0,17
0,1,0,54.849998,0,0,1,1,8,9.6400003,0,1.15242,0,13
0,0,0,62.360001,1,1,0,1,8,9.6400003,1.5,1.15242,1,16
1,0,0,44.040001,0,0,0,1,8,9.6400003,1.5,1.15242,0,12
0,0,1,56.93,0,0,1,1,8,9.6400003,1.5,1.15242,0,16
0,1,0,43.540001,0,0,1,1,8,9.6400003,1.5,1.15242,0,13
1,0,0,58.869999,0,0,1,0,6,9.6400003,1.5,1.15242,0,12
1,0,0,54.169998,1,0,1,0,6,9.6400003,1.5,1.15242,1,16
1,0,0,58.73,1,0,1,0,6,9.6400003,1.5,1.15242,0,16
1,0,0,58.84,0,1,1,0,6,9.6400003,1.5,1.15242,0,16
1,0,0,65.790001,0,0,1,1,8,9.6400003,.5,1.15242,0,17
1,0,1,42.029999,0,1,1,1,8,9.6400003,.5,1.15242,0,14
0,0,0,60.43,0,0,1,1,8,9.6400003,.5,1.15242,0,16
1,0,1,49.57,0,0,0,1,8,9.6400003,.5,1.15242,0,15
1,0,0,51.959999,0,0,1,0,9.5,9.6400003,.80000001,1.15242,0,15
0,0,0,63.57,0,0,1,0,9.5,9.6400003,.80000001,1.15242,0,16
1,0,0,51.689999,0,0,1,0,9.5,9.6400003,.80000001,1.15242,1,15
1,0,0,57.869999,0,0,1,0,9.5,9.6400003,.80000001,1.15242,1,15
1,0,0,49.810001,0,0,1,0,9.5,9.6400003,.80000001,1.15242,1,14
1,0,0,52.490002,0,0,1,0,9.5,9.6400003,.80000001,1.15242,0,14
0,0,0,43.220001,0,0,1,0,9.5,9.6400003,.80000001,1.15242,1,12
0,1,0,58.529999,1,0,1,1,8,9.6400003,.30000001,1.15242,0,14
1,0,1,43.630001,0,0,0,1,8,9.6400003,.30000001,1.15242,0,12
1,1,0,54.790001,0,0,1,1,8,9.6400003,.30000001,1.15242,1,13
0,1,0,37.610001,0,1,1,0,5.3000002,9.6400003,.30000001,1.15242,1,13
1,0,0,62.25,1,0,1,0,5.3000002,9.6400003,.30000001,1.15242,1,16
1,0,0,43.799999,1,0,1,0,5.3000002,9.6400003,.30000001,1.15242,1,12
0,0,0,51.959999,0,0,1,0,5.3000002,9.6400003,.30000001,1.15242,0,15
1,0,0,49.209999,0,0,1,0,5.3000002,9.6400003,.30000001,1.15242,0,15
1,0,0,52.34,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,12
1,0,0,62.939999,0,1,1,0,9.8000002,9.6400003,4.5,1.15242,1,16
0,0,0,55.830002,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,12
0,0,0,62.119999,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,18
1,0,0,55.540001,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,1,12
1,0,0,65.120003,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,15
0,0,0,57.849998,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,15
0,0,0,45.540001,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,12
1,0,0,59.68,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,16
0,0,0,58.32,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,12
0,0,0,56.419998,1,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,16
0,0,0,62.200001,1,0,1,0,9.8000002,9.6400003,4.5,1.15242,1,16
0,1,0,57.07,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,15
1,0,0,52.860001,0,0,1,0,9.8000002,9.6400003,4.5,1.15242,0,15
1,0,0,66.860001,1,1,1,0,6.3000002,9.6400003,1.2,1.15242,1,17
1,0,0,44.599998,0,0,1,0,10.7,9.6400003,.5,1.15242,0,12
1,0,0,56.93,1,1,1,0,10.7,9.6400003,.5,1.15242,1,15
1,0,0,54.119999,0,0,1,0,10.7,9.6400003,.5,1.15242,0,12
0,0,0,48.75,0,0,1,0,10.7,9.6400003,.5,1.15242,0,12
0,0,0,58.16,0,0,1,0,10.7,9.6400003,.5,1.15242,0,16
1,0,0,40.900002,0,0,1,0,10.7,9.6400003,.5,1.15242,0,12
0,0,0,60.959999,0,0,1,0,10.7,9.6400003,.5,1.15242,1,17
0,0,0,65.709999,0,1,1,0,10.7,9.6400003,.5,1.15242,0,15
1,0,0,53.73,0,0,1,0,10.7,9.6400003,.5,1.15242,0,16
1,0,0,57.529999,0,0,1,0,10.7,9.6400003,.5,1.15242,0,16
0,0,0,63.119999,1,1,1,0,10.7,9.6400003,.5,1.15242,1,16
0,0,0,51.169998,0,0,1,0,5.3000002,9.6400003,1.2,1.15242,0,12
0,0,0,61.450001,0,0,1,0,5.3000002,9.6400003,1.2,1.15242,0,13
0,1,0,58.93,1,0,1,0,5.3000002,9.6400003,1.2,1.15242,0,15
1,0,0,55.98,0,1,1,0,5.3000002,9.6400003,1.2,1.15242,1,12
0,0,0,44.779999,0,0,1,0,5.3000002,9.6400003,1.2,1.15242,0,12
0,0,0,49.25,0,0,1,0,5.3000002,9.6400003,1.2,1.15242,0,12
0,0,0,56.299999,1,1,1,0,5.3000002,9.6400003,1.2,1.15242,1,12
1,0,0,65.68,0,0,0,0,7,9.6400003,.1,1.15242,0,16
0,0,0,42.689999,1,1,1,0,7,9.6400003,.1,1.15242,0,16
1,0,0,63.82,1,1,1,0,7,9.6400003,.1,1.15242,1,16
1,0,0,55.419998,0,0,1,0,7,9.6400003,.1,1.15242,1,12
0,0,0,48.709999,0,0,1,0,7,9.6400003,.1,1.15242,0,12
1,0,0,62.540001,1,1,1,0,7,9.6400003,.1,1.15242,1,16
1,0,0,62.970001,0,1,1,0,7,9.6400003,.1,1.15242,1,16
0,0,0,63.209999,1,1,1,0,7.6999998,9.6400003,.1,1.15242,0,16
0,1,0,38.200001,0,0,0,0,7.6999998,9.6400003,.1,1.15242,0,12
1,0,0,54.990002,0,0,1,0,5.5999999,9.6400003,.40000001,1.15242,0,15
1,0,0,62.68,0,0,1,0,5.5999999,9.6400003,.40000001,1.15242,1,16
1,0,0,50.669998,0,0,1,0,8,9.6400003,3.5,1.15242,1,14
1,0,0,53.360001,0,0,1,0,8,9.6400003,3.5,1.15242,0,13
0,0,0,58.919998,0,0,1,0,8,9.6400003,3.5,1.15242,1,17
0,0,0,55.75,0,0,1,0,8,9.6400003,3.5,1.15242,0,12
1,0,0,52.740002,0,0,1,0,8,9.6400003,3.5,1.15242,0,12
0,0,0,56.02,0,0,1,0,8,9.6400003,3.5,1.15242,1,16
0,0,0,58.580002,1,1,1,0,5.3000002,9.6400003,.69999999,1.15242,1,16
0,0,1,48.549999,0,0,1,0,5.3000002,9.6400003,.69999999,1.15242,0,14
1,0,0,52.68,0,1,1,0,5.3000002,9.6400003,.69999999,1.15242,0,14
1,0,1,57.900002,0,0,1,0,5.3000002,9.6400003,.69999999,1.15242,0,14
0,0,0,55.970001,0,0,1,0,10.2,9.6400003,1.2,1.15242,0,16
0,0,0,58.869999,0,0,1,0,10.2,9.6400003,1.2,1.15242,0,12
1,0,0,54.099998,0,0,1,0,10.2,9.6400003,1.2,1.15242,0,12
0,0,0,40.23,0,0,1,0,10.2,9.6400003,1.2,1.15242,0,12
1,0,0,50.040001,0,0,1,0,10.2,9.6400003,1.2,1.15242,0,12
0,0,0,58.25,1,0,0,0,4.4000001,9.6400003,.30000001,1.15242,1,15
0,0,0,61.869999,1,1,1,0,4.4000001,9.6400003,.30000001,1.15242,1,16
0,0,0,67.620003,1,1,1,0,4.4000001,9.6400003,.30000001,1.15242,1,13
0,0,0,65.139999,1,1,1,0,4.4000001,9.6400003,.30000001,1.15242,0,16
0,1,0,58.41,1,1,1,0,4.4000001,9.6400003,.30000001,1.15242,1,15
0,0,0,66.830002,1,0,1,0,4.4000001,9.6400003,.30000001,1.15242,1,16
1,1,0,53.959999,1,0,1,0,4.4000001,9.6400003,.30000001,1.15242,1,16
0,1,0,52.779999,0,0,0,0,4.4000001,9.6400003,.30000001,1.15242,1,16
1,0,0,52.650002,1,0,0,0,8.6999998,9.6400003,2,1.15242,1,12
0,0,0,60.080002,0,0,1,0,8.6999998,9.6400003,2,1.15242,0,15
0,0,0,55.59,0,0,0,0,8.6999998,9.6400003,2,1.15242,0,12
0,0,0,53.029999,1,0,1,0,8.6999998,9.6400003,2,1.15242,1,16
1,0,0,40.779999,0,0,1,0,8.6999998,9.6400003,2,1.15242,0,12
1,0,0,48.09,0,0,1,0,8.6999998,9.6400003,2,1.15242,0,12
0,0,0,41.73,0,0,0,0,8.6999998,9.6400003,2,1.15242,0,12
1,0,0,55.669998,0,0,1,0,8.6999998,9.6400003,2,1.15242,0,15
0,0,0,55.23,0,0,1,0,8.6999998,9.6400003,2,1.15242,0,12
0,0,0,62.369999,1,1,1,0,8.6999998,9.6400003,2,1.15242,0,15
1,0,0,60.959999,0,0,0,0,8.6999998,9.6400003,2,1.15242,0,16
0,0,0,61.259998,1,1,1,0,8.6999998,9.6400003,2,1.15242,1,16
1,0,0,60.919998,0,0,1,0,8.6999998,9.6400003,2,1.15242,1,16
0,1,0,46.139999,0,0,1,0,8.8000002,9.6400003,1.5,1.15242,0,12
0,0,0,50.279999,1,0,1,0,8.8000002,9.6400003,1.5,1.15242,0,15
1,0,0,39.860001,0,0,1,0,8.8000002,9.6400003,1.5,1.15242,0,12
0,0,0,59.110001,1,1,1,0,8.8000002,9.6400003,1.5,1.15242,0,16
1,1,0,43.419998,0,0,1,0,5.5999999,9.6400003,.5,1.15242,0,15
1,1,0,49.07,0,0,1,0,5.5999999,9.6400003,.5,1.15242,1,17
1,1,0,36.25,1,0,0,0,5.5999999,9.6400003,.5,1.15242,1,12
0,1,0,48.389999,0,0,1,0,5.5999999,9.6400003,.5,1.15242,1,16
0,1,0,49.02,1,0,1,0,5.5999999,9.6400003,.5,1.15242,0,16
1,1,0,38.09,0,0,1,0,5.5999999,9.6400003,.5,1.15242,0,12
1,1,0,57.119999,0,0,0,1,8,9.6400003,.69999999,1.15242,0,16
0,0,0,62.439999,1,1,1,1,8,9.6400003,.69999999,1.15242,1,16
1,0,1,46.009998,0,0,0,1,8,9.6400003,.69999999,1.15242,0,12
