ahe,year,bachelor,female,age,age_bachelor
13.63636,2008,1,0,31,31
17.78846,2008,0,1,32,0
20.67308,2008,0,1,25,0
15,2008,1,0,33,33
14.42308,2008,1,1,32,32
21.63461,2008,0,0,33,0
5.288462,2008,0,0,33,0
22.59615,2008,1,1,34,34
18.26923,2008,0,0,31,0
17.30769,2008,1,1,34,34
17.67152,2008,1,1,27,27
20.19231,2008,1,0,28,28
15.73427,2008,0,0,29,0
9.615385,2008,0,1,34,0
10.57692,2008,0,0,32,0
4.326923,2008,0,1,29,0
5.769231,2008,0,1,30,0
10.09615,2008,1,0,28,28
21.14286,2008,0,0,26,0
14.19414,2008,0,0,26,0
13.56275,2008,1,1,26,26
16.66667,2008,0,0,33,0
15,2008,1,0,26,26
16.875,2008,1,1,25,25
19.23077,2008,1,1,33,33
10.57692,2008,0,0,28,0
14.52991,2008,0,0,32,0
12.7451,2008,0,0,32,0
28.67647,2008,1,1,32,32
8,2008,1,1,27,27
19.95192,2008,0,0,28,0
9.615385,2008,0,0,33,0
33.65385,2008,1,1,32,32
13.46154,2008,0,0,34,0
9.294871,2008,0,0,28,0
38.90876,2008,1,1,29,29
19.23077,2008,1,1,32,32
14.90481,2008,0,0,32,0
19.23077,2008,1,0,25,25
17.69231,2008,1,0,33,33
17.78846,2008,0,0,32,0
21.23932,2008,1,0,32,32
17.09402,2008,1,1,29,29
17.78846,2008,1,1,34,34
7.211538,2008,0,0,28,0
20.51282,2008,1,1,27,27
14.42308,2008,0,0,34,0
46.15385,2008,1,0,32,32
12.01923,2008,1,1,29,29
8.653846,2008,0,0,25,0
18.58974,2008,1,0,32,32
17.09402,2008,1,1,31,31
14.95726,2008,0,1,30,0
11.53846,2008,1,1,25,25
18.84615,2008,1,0,25,25
13.46154,2008,1,1,26,26
12.01923,2008,1,1,26,26
14.42308,2008,0,0,27,0
31.25,2008,1,1,33,33
12.98077,2008,0,0,32,0
8.173077,2008,0,1,30,0
16.14635,2008,0,0,32,0
15.87404,2008,0,0,33,0
10.57692,2008,0,1,26,0
19.23077,2008,0,1,29,0
6.655769,2008,0,0,27,0
17.78846,2008,0,0,31,0
13.63636,2008,0,0,31,0
9.79021,2008,0,1,31,0
10.38461,2008,0,0,25,0
15.38461,2008,0,1,30,0
16.82692,2008,0,0,27,0
19.23077,2008,1,0,32,32
20.38461,2008,1,1,30,30
21.15385,2008,1,0,32,32
21.63461,2008,1,1,32,32
8.547009,2008,0,0,31,0
13.46405,2008,0,0,28,0
14.90385,2008,1,0,32,32
21.63461,2008,0,0,33,0
15,2008,0,0,25,0
11.05769,2008,1,1,32,32
13,2008,1,0,29,29
32.69231,2008,0,0,32,0
13.02083,2008,0,0,26,0
57.30769,2008,1,0,28,28
9.615385,2008,0,1,27,0
9.615385,2008,1,0,26,26
9.615385,2008,1,0,27,27
9.615385,2008,1,0,25,25
9.615385,2008,1,0,25,25
23.5,2008,0,1,34,0
12.01923,2008,0,0,29,0
18.26923,2008,0,0,27,0
38.46154,2008,1,0,34,34
11,2008,1,1,30,30
26.44231,2008,1,0,30,30
9.615385,2008,1,0,29,29
23.78543,2008,1,0,29,29
8.653846,2008,0,1,28,0
11.6,2008,0,0,31,0
17.30769,2008,1,1,25,25
9.615385,2008,1,0,25,25
10,2008,0,0,25,0
24.03846,2008,1,1,26,26
30.28846,2008,1,0,28,28
52,2008,0,0,33,0
32.90598,2008,1,1,28,28
28.84615,2008,1,1,27,27
3.525641,2008,0,0,29,0
24.57203,2008,1,0,29,29
26.92308,2008,1,1,30,30
45.54656,2008,0,1,25,0
5.769231,2008,0,1,32,0
20.87912,2008,1,1,33,33
15.38461,2008,0,1,31,0
29.91453,2008,0,0,29,0
24.03846,2008,1,1,28,28
29.05983,2008,1,0,33,33
42.30769,2008,1,0,33,33
60.09615,2008,1,0,33,33
28.84615,2008,0,0,30,0
25.64103,2008,1,0,27,27
40.86538,2008,1,1,26,26
20.67308,2008,1,1,27,27
19.23077,2008,0,0,26,0
21.67832,2008,1,0,30,30
19.23077,2008,0,0,29,0
15.73427,2008,1,1,28,28
19.71154,2008,1,0,27,27
28.84615,2008,1,1,28,28
12.01923,2008,1,1,28,28
8.173077,2008,1,0,28,28
48.07692,2008,1,0,25,25
7.591093,2008,0,0,25,0
10.09615,2008,0,1,26,0
27.40385,2008,1,0,25,25
14.61539,2008,1,0,30,30
27.47253,2008,1,1,26,26
62.5,2008,1,0,33,33
12.01923,2008,0,0,28,0
27.77778,2008,1,1,25,25
57.69231,2008,1,1,31,31
48.07692,2008,1,0,32,32
10.48387,2008,1,1,27,27
8.333333,2008,0,0,28,0
6.153846,2008,0,1,26,0
12.85714,2008,0,1,26,0
12.85714,2008,0,0,25,0
26.44231,2008,1,0,29,29
21.63461,2008,0,1,34,0
32.05128,2008,1,1,27,27
19.71154,2008,1,0,25,25
11.25,2008,0,1,27,0
26.92308,2008,0,0,30,0
12.5,2008,0,0,27,0
28.84711,2008,1,1,34,34
17.94872,2008,1,1,32,32
21.91413,2008,1,1,30,30
14.42308,2008,0,0,34,0
12.01923,2008,0,0,28,0
21.53846,2008,1,0,30,30
10.88889,2008,1,1,30,30
23.07692,2008,1,1,30,30
31.25,2008,1,1,30,30
52.88462,2008,1,1,34,34
23.07692,2008,1,1,33,33
50.48077,2008,1,1,32,32
18.02885,2008,1,0,31,31
19.23077,2008,0,1,28,0
8.854167,2008,0,0,31,0
21.63461,2008,0,0,34,0
14.81481,2008,0,0,33,0
25.48077,2008,1,1,32,32
36.05769,2008,1,0,31,31
32.69231,2008,1,1,31,31
14.90385,2008,0,0,28,0
16.34615,2008,0,0,30,0
5.769231,2008,0,1,25,0
13.46154,2008,0,0,27,0
15.76923,2008,1,0,31,31
12,2008,0,0,31,0
6.25,2008,0,1,33,0
27.47253,2008,1,1,34,34
20,2008,1,1,26,26
21.36752,2008,0,0,28,0
4.808654,2008,1,1,30,30
13.1579,2008,0,1,30,0
22.21154,2008,1,0,26,26
21.63461,2008,1,1,30,30
13.56275,2008,1,1,30,30
28.84615,2008,1,0,31,31
30.76923,2008,1,0,29,29
19.23077,2008,0,1,32,0
12.5,2008,0,0,32,0
23.77622,2008,0,0,34,0
21.15385,2008,1,0,33,33
7.692307,2008,0,0,33,0
35.50296,2008,0,0,32,0
14.42308,2008,1,1,25,25
17.20648,2008,1,1,31,31
28.17531,2008,1,0,32,32
31.25,2008,1,1,34,34
18.02885,2008,1,0,31,31
16.82692,2008,1,0,27,27
20.76923,2008,1,1,25,25
32.96703,2008,0,0,29,0
19.23077,2008,0,1,29,0
34.39231,2008,0,0,31,0
19.71154,2008,0,1,27,0
11.53846,2008,0,0,29,0
15.38461,2008,1,1,34,34
16.48352,2008,0,1,33,0
43.26923,2008,1,0,30,30
24.78633,2008,1,1,25,25
10,2008,1,0,25,25
8.173077,2008,0,1,26,0
26.49573,2008,1,0,29,29
14.42308,2008,1,0,29,29
29.05983,2008,0,1,27,0
24.07407,2008,0,1,29,0
24.03846,2008,1,0,34,34
10.57692,2008,1,1,27,27
33.65385,2008,1,0,26,26
16.82692,2008,1,1,32,32
12.01923,2008,1,1,33,33
10.09712,2008,0,0,32,0
5.288462,2008,1,0,26,26
25.64103,2008,1,0,25,25
31.25,2008,1,0,33,33
10,2008,0,1,32,0
27.61341,2008,1,0,27,27
24.65483,2008,1,1,28,28
24.03846,2008,1,1,28,28
35.71429,2008,1,0,28,28
29.10603,2008,1,0,26,26
17.64423,2008,1,1,27,27
5.494505,2008,0,1,30,0
46.63462,2008,1,1,34,34
15.38461,2008,1,1,28,28
19.23077,2008,1,1,26,26
15,2008,0,0,26,0
9.616346,2008,1,0,27,27
14.42308,2008,0,0,31,0
38.46154,2008,1,0,32,32
26.44231,2008,1,1,29,29
6.971154,2008,0,0,31,0
12.01923,2008,0,0,25,0
7.211538,2008,0,0,25,0
20.67308,2008,0,0,28,0
12.47505,2008,1,1,33,33
28.84615,2008,1,0,30,30
15.86539,2008,0,1,34,0
28.20513,2008,0,0,34,0
30.44872,2008,0,0,30,0
22.59615,2008,0,1,27,0
13.46154,2008,0,0,28,0
12.69231,2008,0,0,26,0
17.39927,2008,0,1,28,0
16.82692,2008,0,1,33,0
18.26923,2008,0,0,32,0
23.07692,2008,0,0,31,0
8.173077,2008,1,0,30,30
23.84615,2008,1,1,34,34
9.5,2008,1,0,27,27
19.678,2008,1,0,25,25
28.84615,2008,0,0,29,0
17.03297,2008,0,1,31,0
14.42308,2008,0,0,30,0
12.01923,2008,0,1,33,0
35.05914,2008,0,0,32,0
20.67308,2008,1,0,28,28
35.09615,2008,1,1,27,27
58,2008,1,0,30,30
14.58333,2008,0,0,33,0
6.971154,2008,0,0,29,0
17.69231,2008,1,0,31,31
14.95726,2008,1,0,29,29
19.23077,2008,0,0,33,0
20.19231,2008,0,0,34,0
18.75,2008,0,1,29,0
15.86539,2008,0,1,29,0
16.82692,2008,0,0,28,0
20.76923,2008,1,1,32,32
23.07692,2008,1,1,34,34
60.09615,2008,1,0,32,32
29.5,2008,0,0,29,0
16.26923,2008,0,0,32,0
16.34615,2008,0,0,31,0
19.23077,2008,1,0,25,25
18.75,2008,1,1,33,33
12.98077,2008,0,1,32,0
47.7525,2008,1,0,30,30
25,2008,0,0,28,0
5.480769,2008,1,1,26,26
21.53846,2008,0,0,30,0
12.82051,2008,1,1,29,29
29.80769,2008,0,0,31,0
28.84615,2008,0,0,30,0
25,2008,0,0,25,0
21.63461,2008,0,0,34,0
16.82692,2008,0,0,33,0
38.46154,2008,1,0,29,29
12.01923,2008,0,1,27,0
42.30769,2008,1,0,33,33
27.69231,2008,1,1,27,27
36.71329,2008,1,1,30,30
48.07692,2008,1,0,31,31
22.11539,2008,1,1,28,28
21.15385,2008,1,1,28,28
24.03846,2008,1,1,26,26
21.45299,2008,1,1,34,34
26.44231,2008,1,0,29,29
12.08791,2008,0,1,31,0
22.11539,2008,1,1,27,27
13.46154,2008,1,1,28,28
7.894737,2008,0,0,27,0
16.82692,2008,1,0,27,27
40.38462,2008,1,0,28,28
24.72528,2008,1,1,29,29
31.25096,2008,1,0,34,34
12.02019,2008,1,0,31,31
26.92308,2008,1,1,28,28
9.001637,2008,1,1,32,32
23.42657,2008,1,0,30,30
27.77778,2008,0,1,31,0
38.46154,2008,1,0,33,33
48.07692,2008,1,0,34,34
21.35417,2008,1,1,33,33
26.92308,2008,1,1,28,28
27.47253,2008,1,1,29,29
26.92308,2008,1,1,25,25
21.32867,2008,1,1,26,26
18.84615,2008,1,0,34,34
33.65385,2008,1,1,29,29
29.48718,2008,1,0,29,29
27.30769,2008,1,0,28,28
48.07692,2008,0,1,28,0
23.07692,2008,1,0,27,27
14.42308,2008,1,1,28,28
26.44231,2008,1,0,32,32
17.09402,2008,1,0,30,30
26.44231,2008,1,0,32,32
36.32479,2008,0,0,31,0
7.211538,2008,0,0,32,0
24.03846,2008,0,0,27,0
11.53846,2008,0,1,32,0
24.03942,2008,0,0,27,0
14.53488,2008,0,0,28,0
12.01923,2008,0,1,27,0
15.38461,2008,1,1,25,25
14.42308,2008,1,1,34,34
26.44231,2008,1,1,34,34
37.95547,2008,1,1,27,27
18.84615,2008,1,1,27,27
31.74603,2008,1,0,27,27
24.03846,2008,1,1,28,28
52.88462,2008,1,1,33,33
12.5,2008,0,1,28,0
18.26923,2008,0,0,25,0
15.88629,2008,0,1,31,0
19.23077,2008,0,0,33,0
15.38461,2008,0,1,25,0
21.63461,2008,1,1,32,32
12.82051,2008,1,0,27,27
9.935898,2008,1,1,28,28
14.42308,2008,1,1,31,31
14.42308,2008,1,0,26,26
7.967033,2008,0,0,26,0
27.88461,2008,1,1,30,30
18.11225,2008,1,1,31,31
15.38461,2008,0,0,29,0
13.46154,2008,0,0,34,0
28.84615,2008,0,0,30,0
8.173077,2008,0,1,27,0
22.23558,2008,1,1,29,29
28.84615,2008,1,0,30,30
34.61538,2008,1,0,32,32
14.52991,2008,1,0,30,30
36.53846,2008,0,1,32,0
60.09615,2008,1,0,34,34
24.03846,2008,1,1,32,32
24.03846,2008,1,1,29,29
27.77778,2008,1,0,31,31
7.8125,2008,0,0,27,0
5.153846,2008,0,1,32,0
10.09615,2008,0,1,32,0
17.30769,2008,1,1,28,28
24.51923,2008,1,0,34,34
10.09615,2008,0,0,25,0
16.82692,2008,1,1,25,25
10,2008,0,0,33,0
20.19231,2008,1,1,26,26
20.19231,2008,0,0,27,0
17.01923,2008,1,1,26,26
31.25,2008,1,0,34,34
12.01923,2008,1,1,30,30
5.057693,2008,0,0,27,0
36.53846,2008,1,0,34,34
39.70588,2008,1,0,27,27
13.46154,2008,1,1,25,25
13.46154,2008,0,0,25,0
19.23077,2008,1,1,26,26
10.96154,2008,0,1,34,0
74.78632,2008,1,1,34,34
12.98077,2008,0,0,31,0
32.21154,2008,1,1,34,34
19.23077,2008,0,0,34,0
14.42308,2008,1,1,32,32
28.84615,2008,1,0,31,31
28.84615,2008,1,0,31,31
22.59615,2008,0,0,33,0
34.13462,2008,1,0,33,33
11.53846,2008,0,1,33,0
17.58242,2008,0,1,28,0
16.82692,2008,0,1,33,0
32.69231,2008,1,1,27,27
23.07692,2008,1,0,26,26
19.71154,2008,0,1,29,0
15.38461,2008,1,1,33,33
19.23077,2008,0,0,28,0
19.23077,2008,0,0,32,0
16.82692,2008,0,0,31,0
16.34615,2008,1,0,34,34
16.34615,2008,0,0,29,0
19.71154,2008,1,0,27,27
22.59615,2008,1,0,26,26
13.1579,2008,0,0,26,0
49.52381,2008,0,0,32,0
9.230769,2008,0,1,25,0
9.94695,2008,0,0,33,0
19.71154,2008,0,0,31,0
19.23077,2008,0,0,34,0
19.23077,2008,1,1,29,29
18.68132,2008,1,1,32,32
31.54121,2008,1,1,33,33
11.53846,2008,0,1,26,0
38.03419,2008,1,0,30,30
13.73626,2008,0,1,25,0
15.86539,2008,1,1,31,31
45.67308,2008,0,0,30,0
11.92308,2008,0,0,30,0
16.02564,2008,0,1,25,0
12.5,2008,0,0,32,0
17.63365,2008,1,0,27,27
8.791209,2008,0,1,34,0
26.44231,2008,1,0,34,34
31.25,2008,1,1,28,28
20.19231,2008,0,0,34,0
15.18219,2008,0,1,29,0
15.54828,2008,0,1,29,0
20,2008,0,1,29,0
31.46853,2008,1,0,30,30
19.23077,2008,0,1,30,0
33.65385,2008,1,0,32,32
24.03846,2008,0,0,33,0
22.11539,2008,1,1,27,27
11.53846,2008,1,1,25,25
21.63461,2008,0,0,29,0
14.42308,2008,0,1,29,0
6.944445,2008,0,1,28,0
13.46154,2008,0,0,26,0
20.19231,2008,1,1,34,34
13.11189,2008,0,0,32,0
34.61538,2008,1,0,33,33
10.12146,2008,0,1,31,0
18.75,2008,1,1,25,25
14.89583,2008,0,0,28,0
17.78846,2008,1,1,26,26
29.44711,2008,1,0,29,29
12.01923,2008,1,0,27,27
10,2008,0,0,26,0
28.36539,2008,1,1,33,33
16.82788,2008,0,0,34,0
15.86539,2008,1,1,28,28
14.42308,2008,0,1,29,0
7.08502,2008,0,1,30,0
9.450549,2008,0,1,32,0
24.57265,2008,1,0,27,27
23.50427,2008,1,1,31,31
9.615385,2008,0,1,25,0
21.23077,2008,1,1,31,31
5.20055,2008,0,1,31,0
5.20055,2008,0,1,31,0
28.13725,2008,0,0,32,0
16.19433,2008,0,1,28,0
30.76923,2008,1,0,32,32
21.63461,2008,1,0,32,32
40.38462,2008,1,0,29,29
14.42308,2008,0,1,33,0
15.98558,2008,1,1,33,33
17.71255,2008,0,1,29,0
14.42308,2008,1,0,28,28
15.38461,2008,0,1,32,0
5.963461,2008,0,0,29,0
12.08791,2008,0,1,34,0
26.92308,2008,0,0,27,0
16.82692,2008,1,1,29,29
18.24458,2008,0,1,31,0
17.09402,2008,0,1,30,0
16.82692,2008,0,1,32,0
21.15385,2008,1,1,28,28
23.62637,2008,1,1,27,27
18.26923,2008,0,0,26,0
21.63461,2008,0,0,32,0
14.67611,2008,0,1,33,0
31.92308,2008,1,1,33,33
8.136095,2008,0,1,34,0
24.03846,2008,1,1,29,29
16.82692,2008,1,1,29,29
13.46154,2008,0,0,29,0
39.42308,2008,1,1,31,31
25.96154,2008,0,0,33,0
18.26923,2008,0,0,28,0
11.25,2008,0,0,33,0
23.55769,2008,1,0,27,27
6,2008,0,1,31,0
12.5,2008,0,0,26,0
5.161539,2008,0,1,30,0
28.84615,2008,1,0,33,33
33.65385,2008,1,1,31,31
8.653846,2008,0,0,32,0
15.38461,2008,1,1,25,25
28.84615,2008,0,0,34,0
11.05769,2008,0,1,31,0
19.23077,2008,1,1,29,29
29.91453,2008,1,0,29,29
29.91453,2008,1,1,29,29
9.616346,2008,1,1,31,31
19.23077,2008,1,1,26,26
24.03846,2008,0,1,33,0
16.82692,2008,1,0,33,33
4.807693,2008,1,1,32,32
13.46154,2008,0,1,31,0
10.09615,2008,0,0,32,0
11.53846,2008,0,1,30,0
32.21154,2008,0,0,34,0
14.42308,2008,0,0,33,0
9.619712,2008,0,1,30,0
28.84615,2008,1,1,28,28
9.615385,2008,0,0,27,0
48.07692,2008,0,1,31,0
7.211538,2008,0,0,29,0
9.89011,2008,0,0,31,0
23.50427,2008,1,0,30,30
26.44231,2008,1,0,27,27
21.63461,2008,1,1,29,29
55.23732,2008,1,0,34,34
28.63248,2008,1,0,25,25
15.18219,2008,0,0,30,0
14.42308,2008,0,1,33,0
15.38461,2008,1,0,25,25
21.92308,2008,0,1,34,0
23.07692,2008,0,1,28,0
20.60439,2008,0,0,32,0
36.05769,2008,1,1,33,33
38.46154,2008,1,1,31,31
19.23077,2008,1,0,25,25
19.23077,2008,0,0,30,0
30.04808,2008,1,0,31,31
4.738562,2008,1,1,29,29
32.69231,2008,1,1,27,27
24.03846,2008,1,1,32,32
16.34615,2008,1,0,34,34
18.68242,2008,0,1,30,0
7.5,2008,0,0,30,0
22.18935,2008,1,1,31,31
14.42308,2008,0,0,32,0
23.07692,2008,1,1,32,32
48.07788,2008,1,0,32,32
14.42308,2008,1,1,25,25
34.18803,2008,1,0,31,31
20.19231,2008,1,0,33,33
28.84615,2008,1,1,27,27
12.5,2008,0,0,34,0
23.31731,2008,1,0,34,34
27.40385,2008,1,1,29,29
20.19231,2008,0,0,26,0
28.63248,2008,1,0,31,31
23.07692,2008,0,1,26,0
39.23077,2008,1,0,32,32
12.08791,2008,1,0,28,28
8,2008,0,1,27,0
11.09467,2008,1,1,28,28
17.09402,2008,1,1,31,31
19.23077,2008,1,0,30,30
12.82051,2008,1,0,28,28
32.69231,2008,1,1,26,26
26.44231,2008,1,1,26,26
48.07692,2008,1,1,34,34
26.92308,2008,1,1,34,34
22.62443,2008,1,0,26,26
20.19231,2008,1,1,29,29
19.23077,2008,1,0,27,27
13.46154,2008,0,0,25,0
25,2008,1,1,28,28
25.64103,2008,1,1,30,30
27.47253,2008,1,1,31,31
28.84615,2008,1,1,31,31
28.84615,2008,1,1,30,30
15.59252,2008,1,0,31,31
38.46218,2008,1,0,26,26
42.73504,2008,1,1,32,32
15.69859,2008,1,1,27,27
27.77778,2008,1,0,25,25
21.63461,2008,1,0,28,28
24.03846,2008,1,1,34,34
16.48352,2008,1,0,34,34
21.63461,2008,1,0,33,33
32.69231,2008,1,1,27,27
52.44755,2008,1,0,33,33
10.09615,2008,0,0,30,0
12.82051,2008,0,0,28,0
19.23077,2008,1,1,31,31
19.23077,2008,0,0,33,0
24.40902,2008,1,1,26,26
19.23077,2008,1,1,25,25
13.46154,2008,1,1,25,25
55.28846,2008,1,1,32,32
28.84615,2008,1,0,30,30
24.03846,2008,1,1,25,25
40.86538,2008,1,0,33,33
16.66667,2008,1,0,29,29
21.03654,2008,1,1,26,26
44.3787,2008,1,1,27,27
23.4375,2008,1,1,28,28
13.46154,2008,1,0,27,27
46.15385,2008,1,1,32,32
57.69231,2008,1,1,33,33
20.67308,2008,0,0,32,0
18.09135,2008,1,0,31,31
13.46154,2008,0,0,29,0
7.478632,2008,1,1,25,25
6.730769,2008,0,0,29,0
19.23077,2008,0,0,28,0
