id,subscribe,age,income,college,married,female,smartphone_hours
158,0,36.6,700.6,1,1,1,3.8
159,1,26.1,746.5,0,0,1,3.0
160,1,45.3,781.8,1,0,1,4.4
161,0,28.3,520.2,1,1,0,3.1
162,0,45.6,738.7,0,1,1,4.0
163,0,47.5,371.6,1,0,1,1.7
164,1,38.2,416.7,1,1,0,2.0
165,0,60.6,518.6,0,0,0,1.5
166,1,28.9,745.1,1,0,0,1.6
167,0,60.1,498.0,0,0,0,2.8
168,1,29.1,477.3,0,1,1,4.3
169,0,27.8,522.0,0,0,0,0.9
170,0,59.3,300.4,0,1,1,3.1
171,0,53.9,495.7,0,0,0,2.5
172,0,41.1,518.5,1,1,1,2.5
173,1,44.8,528.1,1,1,0,2.4
174,1,28.8,435.6,1,1,0,2.5
175,0,35.9,284.7,1,0,0,3.0
176,1,36.3,404.4,0,1,1,1.3
177,0,37.0,543.2,0,0,1,3.0
178,0,48.6,366.9,0,0,0,3.0
179,1,43.8,360.5,0,0,0,1.1
180,0,44.5,629.7,0,0,0,2.6
181,0,35.4,519.3,1,1,0,3.6
182,0,23.4,588.9,0,1,0,1.9
183,0,22.1,283.6,0,0,1,2.7
184,0,45.1,411.9,0,0,1,3.5
185,1,46.8,625.7,0,0,1,3.9
186,0,40.8,497.6,1,0,1,5.0
187,0,65.1,345.1,0,1,1,5.5
188,0,25.4,509.2,1,0,0,3.1
189,1,31.5,580.5,0,1,1,0.0
190,1,44.7,657.5,0,1,0,4.2
191,0,30.7,413.7,0,0,0,4.1
192,1,34.9,619.6,1,0,0,2.4
193,1,36.9,540.8,0,0,1,4.5
194,1,37.5,759.8,1,0,0,3.4
195,0,43.0,586.4,1,1,0,0.9
196,1,59.8,279.2,1,1,1,4.4
197,0,40.0,224.6,0,1,0,3.0
198,0,48.8,246.1,0,1,1,0.9
199,0,44.1,649.2,1,1,0,2.4
200,0,45.7,748.0,0,0,1,4.5
201,1,23.4,442.1,1,0,0,4.2
202,1,41.6,615.8,0,1,1,6.3
203,0,43.2,777.0,0,0,1,3.7
204,0,35.4,343.2,1,0,1,3.3
205,0,26.8,328.9,0,1,0,3.3
206,1,55.1,640.7,0,1,1,5.4
207,1,43.4,488.7,1,0,1,4.1
208,0,31.2,615.1,0,1,1,2.2
209,0,58.9,618.0,1,1,1,3.2
210,0,39.4,420.0,1,1,0,1.8
211,0,32.7,549.8,1,0,0,1.2
212,0,18.0,358.9,0,1,0,4.2
213,0,45.9,531.5,1,0,1,5.0
214,0,30.0,262.1,0,1,0,2.3
215,1,45.8,699.5,1,0,1,3.0
216,0,28.7,377.1,0,1,1,0.0
217,0,59.5,487.9,0,1,1,1.5
218,0,48.5,617.7,0,0,0,4.5
219,1,34.1,603.4,1,1,0,5.2
220,1,22.0,297.0,1,1,0,4.7
221,1,41.5,414.9,1,0,0,2.5
222,1,27.1,395.6,0,0,0,2.7
223,0,39.7,304.1,0,0,0,2.3
224,0,31.8,666.7,1,0,0,1.4
225,0,36.6,461.6,0,1,1,5.5
226,0,20.5,256.7,1,1,1,2.1
227,1,32.5,523.4,1,1,0,3.9
228,0,35.1,492.2,0,0,1,1.3
229,0,49.6,720.4,1,1,0,2.1
230,0,34.0,450.6,0,1,1,1.6
231,0,35.5,517.0,0,0,0,2.1
232,1,42.9,401.1,0,0,1,4.4
233,1,36.3,716.2,1,1,0,0.4
234,0,36.6,455.8,0,0,0,3.0
235,0,62.3,681.1,0,0,0,3.8
236,0,40.0,278.0,1,0,1,2.5
237,0,50.9,308.9,0,1,0,0.8
238,0,52.7,473.8,1,0,0,4.0
239,0,45.1,381.0,1,0,1,3.1
240,0,47.2,524.5,0,1,0,0.8
241,0,49.3,436.0,1,0,1,3.3
242,1,23.1,787.0,1,0,1,3.3
243,1,41.3,865.6,1,0,1,5.4
244,0,55.6,571.8,0,0,1,4.3
245,0,33.0,517.5,0,0,0,3.1
246,0,39.1,447.7,0,1,1,4.4
247,0,32.4,638.2,0,0,1,2.2
248,0,27.8,616.3,1,0,1,2.5
249,1,42.1,913.9,0,0,1,3.6
250,0,39.0,479.1,1,1,1,1.2
251,1,46.7,534.8,0,0,1,3.9
252,0,33.1,535.8,0,1,0,4.2
253,0,43.1,471.1,0,1,1,3.5
254,1,34.5,265.4,0,1,0,3.9
255,1,24.7,272.3,1,1,1,2.1
256,0,41.3,626.1,0,0,1,2.4
257,0,25.9,739.7,1,1,1,0.7
258,1,29.0,435.9,1,1,0,2.6
259,1,34.5,686.5,1,0,0,5.6
260,1,24.7,626.1,0,1,1,4.6
261,1,41.6,747.6,1,0,1,4.3
262,1,46.0,493.4,0,1,0,2.8
263,1,44.2,278.7,0,1,0,5.5
264,0,33.9,717.3,1,1,0,2.1
265,0,39.1,481.1,0,1,0,3.2
266,0,42.9,662.9,0,1,1,0.3
267,0,33.9,401.6,1,0,0,1.3
268,0,55.5,120.0,1,0,0,3.6
269,0,49.0,349.6,0,0,1,0.8
270,1,45.4,400.5,0,0,1,4.5
271,0,27.0,354.0,1,0,1,1.6
272,0,52.5,853.2,0,0,0,5.0
273,1,48.8,884.9,1,1,1,4.7
274,0,41.5,768.1,1,0,1,2.2
275,0,53.2,469.2,1,0,1,3.8
276,0,21.9,591.8,0,1,0,2.6
277,0,29.2,481.2,0,0,1,0.2
278,1,31.9,404.5,0,0,1,5.8
279,0,32.6,357.1,1,0,0,2.6
280,0,41.2,522.2,1,0,1,4.6
281,0,40.8,317.2,1,1,1,2.7
282,0,31.7,626.3,1,0,0,4.2
283,0,51.3,271.5,0,1,1,2.1
284,1,45.5,784.1,1,1,0,1.4
285,0,29.1,203.5,1,1,1,3.6
286,1,31.3,473.2,1,1,1,5.5
287,0,55.7,120.0,0,1,1,3.7
288,1,18.0,618.9,1,0,1,2.6
289,0,40.9,702.5,1,0,1,0.7
290,1,58.8,617.4,1,0,1,3.9
291,1,45.8,653.6,1,0,1,2.3
292,0,39.7,251.8,1,0,0,4.3
293,1,57.6,471.9,1,0,0,3.4
294,0,22.7,239.4,0,0,1,2.0
295,0,21.0,583.3,0,1,1,1.9
296,0,18.9,581.2,1,0,0,3.1
297,0,28.9,831.5,1,1,1,2.3
298,1,27.6,466.0,0,1,1,2.6
299,0,37.4,360.8,1,1,0,2.5
300,0,50.4,714.8,1,1,1,3.6
301,0,53.8,161.1,1,0,1,3.6
302,0,36.2,479.3,0,1,0,3.3
303,0,28.5,761.3,1,0,1,3.0
304,0,35.9,691.6,1,1,1,0.7
305,1,51.9,492.3,1,1,0,1.9
306,0,37.8,692.1,0,1,1,3.0
307,0,32.2,382.6,1,1,1,1.9
308,1,32.9,562.3,1,0,1,4.2
309,0,60.7,260.1,1,0,0,3.8
310,1,41.6,516.9,0,0,0,4.4
311,1,36.9,523.0,1,0,0,3.3
312,0,32.9,805.6,0,0,1,1.9
313,0,40.0,332.9,1,1,1,1.2
314,0,55.1,409.6,1,0,0,4.0
315,0,31.2,384.7,1,0,1,1.9
316,1,43.4,718.4,0,0,0,4.1
317,1,39.9,722.3,1,1,1,5.2
318,0,41.9,561.9,1,0,0,0.7
319,1,34.3,716.6,1,0,1,4.7
320,1,53.0,633.5,0,0,0,0.5
321,1,27.1,735.6,1,0,1,1.8
322,0,18.9,139.3,1,1,1,4.6
323,1,35.4,655.9,1,0,1,4.1
324,0,18.9,732.0,1,1,1,2.9
325,0,50.5,461.9,1,0,0,2.1
326,1,23.4,660.3,0,1,1,3.0
327,0,53.3,120.0,0,0,1,2.9
328,0,50.7,319.1,1,1,0,5.3
329,1,41.9,468.5,1,1,1,5.1
330,0,36.3,466.9,0,1,0,4.7
331,0,18.0,386.3,0,0,0,1.4
332,0,32.1,453.3,0,1,1,2.9
333,0,54.1,297.0,1,0,1,2.8
334,0,21.2,474.8,0,0,0,0.7
335,0,35.9,253.0,1,1,1,3.1
336,0,40.2,272.9,0,0,1,4.0
337,0,43.4,768.8,0,1,0,2.8
338,0,34.5,822.5,0,1,0,3.3
339,0,56.7,441.2,1,0,1,3.8
340,0,18.0,395.5,0,1,1,0.3
341,0,27.1,540.2,0,0,0,1.6
342,0,37.4,493.3,0,1,0,3.3
343,0,52.1,703.6,1,1,1,2.9
344,0,46.3,392.8,0,1,1,4.2
345,0,19.9,788.7,0,0,0,3.5
346,0,24.1,573.6,1,0,0,3.5
347,0,28.3,389.6,1,0,1,0.3
348,0,50.0,696.7,1,1,1,3.2
349,0,53.7,532.1,1,1,1,2.5
350,0,29.4,466.4,0,1,1,2.8
351,1,29.5,516.9,0,1,1,4.5
352,0,41.0,404.8,1,0,1,4.3
353,0,48.4,623.7,0,1,0,3.9
354,1,50.3,476.8,0,0,0,3.7
355,0,34.4,329.1,1,0,0,4.4
356,0,43.2,298.3,1,1,1,3.9
357,0,32.5,759.8,1,1,0,3.0
358,1,45.6,560.8,0,0,0,3.1
359,0,58.3,719.4,0,1,0,0.3
360,0,36.0,560.3,1,0,0,2.0
361,0,26.9,347.7,1,1,0,3.0
362,0,22.2,534.2,0,0,1,2.9
363,1,28.8,294.3,1,1,1,4.1
364,0,19.3,264.5,0,1,0,4.0
365,0,38.4,467.9,1,1,0,3.5
366,0,19.7,363.9,1,0,0,2.7
367,0,38.2,174.7,0,1,1,4.2
368,0,34.5,366.1,1,0,1,2.8
369,0,34.1,640.4,0,0,0,3.3
370,0,31.3,663.1,1,1,1,2.3
371,1,23.5,724.1,1,1,1,3.0
372,0,18.0,357.1,0,1,1,5.2
373,0,34.7,652.0,1,1,0,2.8
374,1,43.5,508.0,0,1,0,3.3
375,0,35.0,480.8,0,0,0,3.0
376,1,38.3,774.5,1,1,1,2.0
377,0,31.5,611.9,1,1,1,1.8
378,0,28.2,698.2,0,1,1,3.9
379,0,33.3,893.3,1,0,0,2.8
380,0,39.7,595.8,0,0,0,2.1
381,0,30.1,522.2,0,1,0,4.6
382,0,23.5,762.3,0,1,0,3.1
383,0,59.5,817.9,0,0,0,2.1
384,0,44.3,360.0,1,0,1,4.7
385,0,56.9,428.3,0,1,1,4.7
386,0,19.0,168.6,0,1,1,2.4
387,0,32.3,653.7,0,1,1,2.6
388,0,43.4,566.3,0,0,0,3.0
389,0,31.2,618.4,1,1,1,3.7
390,1,42.7,763.5,1,1,0,3.0
391,0,36.6,462.6,0,1,0,3.3
392,1,39.3,988.6,0,0,0,3.7
393,0,32.1,493.7,0,1,0,2.0
394,1,47.9,394.2,1,0,1,3.0
395,0,34.5,620.6,1,0,0,1.3
396,0,49.5,342.1,1,1,0,3.2
397,0,18.8,603.2,1,0,1,0.9
398,1,18.2,466.8,1,0,0,2.9
399,1,18.0,616.8,1,1,0,1.5
400,0,20.0,518.9,1,1,1,3.3
401,0,47.2,436.5,0,0,1,3.8
402,0,45.5,599.9,0,0,1,2.7
403,0,35.2,620.7,0,1,1,1.3
404,1,41.7,362.1,1,1,1,1.9
405,0,29.2,410.0,0,1,1,4.3
406,0,36.8,369.2,0,0,0,3.7
407,0,46.9,725.8,0,1,0,3.5
408,1,22.5,380.9,1,1,0,4.0
409,0,42.7,266.8,1,1,1,3.8
410,0,30.9,308.9,0,0,0,4.6
411,0,53.0,770.5,0,1,1,2.0
412,0,58.6,499.9,1,0,0,2.7
413,0,27.1,894.6,0,1,0,1.3
414,0,29.5,251.0,0,0,1,5.1
415,0,62.3,553.3,0,1,0,5.6
416,1,61.5,837.1,0,0,1,3.4
417,0,32.7,320.5,1,1,0,2.8
418,1,53.8,697.1,0,0,0,1.5
419,0,28.4,190.1,1,1,1,4.0
420,1,40.4,719.3,0,0,0,3.1
421,1,52.9,478.6,0,0,1,2.6
422,0,43.6,684.1,0,1,1,3.3
423,0,18.0,594.5,1,0,1,1.8
424,0,37.9,873.6,1,1,0,3.2
425,0,42.8,587.0,0,1,1,4.1
426,0,30.8,479.9,0,0,1,1.9
427,1,29.3,625.6,1,0,0,4.1
428,0,38.3,478.1,1,1,1,1.8
429,0,36.7,434.7,1,0,0,4.1
430,0,39.7,315.8,1,1,0,2.4
431,0,33.5,401.1,1,0,0,4.7
432,1,25.6,567.8,0,0,1,5.6
433,1,45.0,758.7,0,0,0,3.4
434,0,41.6,479.1,1,0,0,3.4
435,1,20.3,672.9,0,1,0,2.3
436,0,58.4,403.6,1,1,0,4.3
437,1,51.3,530.9,0,1,0,2.4
438,1,39.0,407.9,0,0,0,6.2
439,0,48.7,593.7,1,0,1,2.4
440,0,41.1,454.9,1,0,0,2.8
441,0,33.6,675.7,1,0,1,0.1
442,1,40.3,353.5,1,1,1,5.1
443,1,45.0,535.9,1,1,0,3.0
444,0,40.3,379.5,1,0,0,2.9
445,1,18.0,706.4,0,0,0,3.7
446,0,42.2,654.1,1,1,1,2.7
447,1,33.1,586.5,0,0,0,4.0
448,0,36.8,704.8,0,1,1,4.0
449,0,18.0,287.7,0,0,0,3.1
450,1,23.6,500.2,1,0,1,4.3
451,0,39.4,383.6,0,1,1,4.5
452,0,36.0,541.8,0,1,0,3.6
453,0,70.0,407.9,1,0,1,2.7
454,0,19.9,469.6,0,0,1,0.5
455,0,37.4,607.7,1,0,0,0.1
456,1,53.7,828.2,0,1,1,2.7
457,0,43.4,440.7,0,0,1,3.5
458,0,48.2,524.2,1,0,1,3.3
459,1,49.4,559.4,0,0,1,2.9
460,1,41.8,766.6,0,1,0,3.7
461,0,55.2,378.1,1,0,0,4.5
462,0,18.0,860.1,0,0,0,2.1
463,0,37.2,714.5,0,0,1,3.3
464,0,18.0,541.7,0,0,1,3.6
465,1,70.0,394.4,0,0,0,5.4
466,0,40.5,561.0,1,0,0,2.2
467,1,34.9,598.4,1,0,1,5.0
468,0,45.2,838.4,0,1,1,3.2
469,0,48.3,310.9,1,0,1,1.5
470,1,47.6,337.5,0,1,0,3.7
471,0,41.6,491.1,1,0,1,1.5
472,1,27.6,756.7,0,0,1,2.6
473,0,30.5,511.8,1,1,0,4.3
474,1,41.2,568.3,0,0,1,5.7
475,0,22.7,375.5,0,0,0,5.8
476,0,39.9,664.1,0,0,1,3.7
477,0,34.5,554.9,1,1,0,4.2
478,0,43.2,120.0,1,0,0,4.7
479,0,54.0,372.2,0,1,0,2.9
480,0,31.7,520.6,1,0,0,3.6
481,1,18.3,168.6,0,0,1,5.3
482,1,52.9,809.3,0,1,1,2.9
483,1,24.9,912.4,1,0,1,2.8
484,0,44.5,653.0,0,1,1,4.3
485,0,34.4,534.3,1,0,0,4.7
486,0,38.4,695.7,1,0,0,4.6
487,0,48.4,452.5,1,1,0,3.9
488,0,42.1,690.1,1,1,1,4.5
489,0,44.1,148.9,1,1,1,1.4
490,0,37.8,440.4,0,0,1,1.6
491,0,39.7,267.8,1,0,0,3.1
492,0,28.9,660.7,1,0,0,5.1
493,0,30.0,407.5,1,1,0,4.2
494,0,26.9,381.2,0,0,1,3.3
495,0,18.0,544.4,0,0,1,3.4
496,0,45.8,120.0,0,0,1,1.4
497,0,45.4,443.1,0,1,1,2.9
498,0,41.2,346.6,0,0,1,3.7
499,0,33.8,829.3,1,0,1,4.0
500,0,44.1,509.3,1,1,1,0.1
501,1,24.1,622.0,1,0,0,3.2
502,1,21.4,600.0,1,1,1,5.8
503,0,18.0,322.5,0,1,1,4.1
504,0,58.5,548.7,1,0,0,3.7
505,1,45.6,580.4,1,0,1,4.9
506,0,38.3,487.8,0,1,1,3.5
507,1,26.6,343.8,0,0,0,2.0
508,0,41.2,623.3,1,0,1,2.9
509,0,21.2,502.2,1,1,0,3.0
510,0,24.7,433.5,1,1,0,3.7
511,1,36.6,382.8,1,1,0,2.5
512,0,51.7,449.9,1,0,1,2.9
513,0,59.0,284.2,1,0,0,2.9
514,1,33.0,622.7,1,1,0,2.2
515,0,26.0,491.7,0,1,0,2.3
516,0,38.6,521.3,1,1,0,4.2
517,0,31.1,208.1,0,0,0,2.5
518,0,38.4,511.3,0,0,1,3.4
519,0,18.0,910.5,1,1,0,1.1
520,0,24.1,522.2,1,0,0,2.2
521,0,43.8,391.4,1,0,0,4.6
522,1,18.0,635.5,0,1,0,3.4
523,0,50.4,254.7,0,0,0,2.2
524,0,41.8,120.0,0,0,1,1.8
525,1,31.6,643.8,1,0,0,1.9
526,0,35.3,499.8,1,1,0,1.9
527,0,28.7,534.9,1,0,1,2.8
528,0,43.9,308.5,0,0,1,2.1
529,0,33.6,468.4,0,0,0,0.2
530,0,50.1,517.7,0,1,0,2.8
531,1,33.3,656.8,0,1,0,5.1
532,0,44.0,491.6,0,0,1,1.3
533,0,65.5,512.3,1,1,0,3.0
534,0,27.6,198.2,0,1,0,3.6
535,1,53.4,749.9,0,0,0,6.2
536,0,21.3,657.9,1,0,0,2.4
537,0,35.9,612.7,1,1,0,3.3
538,0,51.9,352.4,1,0,1,0.3
539,0,41.8,417.1,1,0,0,3.3
540,1,29.6,451.1,1,1,1,2.3
541,0,21.9,280.4,1,0,1,4.5
542,0,35.9,722.5,1,0,1,1.5
543,1,18.0,833.5,0,1,0,2.4
544,0,53.8,446.5,0,0,1,1.9
545,0,18.0,203.8,0,0,0,1.7
546,0,47.9,605.9,1,0,0,3.1
547,1,32.3,533.2,1,1,1,2.5
548,1,51.3,565.9,1,0,0,3.7
549,1,49.9,588.6,0,1,1,3.4
550,0,50.5,703.0,0,1,1,4.1
551,1,50.6,719.5,1,1,0,3.2
552,0,27.4,430.5,1,1,1,2.6
553,1,55.4,541.0,0,0,1,5.0
554,0,32.1,517.8,0,0,1,3.8
555,0,40.9,622.7,1,1,1,3.6
556,0,37.6,187.6,0,1,1,0.0
557,0,26.3,449.2,0,0,1,2.9
558,0,25.1,652.3,1,0,0,2.2
559,1,18.8,532.1,0,0,1,4.3
560,1,36.1,506.2,1,0,0,4.9
561,0,56.0,559.3,0,1,1,2.1
562,1,18.0,364.7,1,0,0,2.3
563,1,48.6,399.3,1,0,1,4.4
564,1,20.9,587.0,1,0,0,4.7
565,1,50.6,780.6,0,0,1,0.2
566,1,54.1,256.6,1,1,1,2.5
567,1,25.4,845.1,0,0,0,3.7
568,0,45.4,374.9,1,0,0,1.9
569,1,21.5,619.1,0,1,0,1.9
570,0,43.3,244.2,0,0,1,3.6
571,1,20.8,778.4,1,0,0,3.1
572,0,57.5,264.1,0,0,0,2.6
573,0,23.1,603.2,1,1,1,0.4
574,0,37.7,398.0,0,1,1,2.5
575,0,36.1,746.1,0,0,0,5.5
576,0,60.8,315.6,1,0,1,1.0
577,1,44.6,120.0,0,0,1,1.5
578,0,52.1,317.8,0,0,0,2.4
579,1,40.6,746.0,0,1,0,2.5
580,1,34.6,659.5,1,1,1,3.6
581,0,50.1,713.4,0,1,0,2.3
582,1,47.5,610.2,0,1,0,4.5
583,0,33.3,392.4,1,1,0,2.2
584,0,49.6,709.0,1,0,1,3.9
585,0,33.6,636.2,1,1,1,3.0
586,0,60.8,494.6,0,0,0,3.0
587,0,60.3,608.7,1,1,1,3.6
588,0,46.5,443.9,1,1,1,2.6
589,0,45.7,353.7,0,0,0,1.4
590,0,52.1,692.2,1,0,0,5.4
591,0,34.1,456.6,0,1,0,3.2
592,0,39.1,274.1,1,0,0,4.5
593,1,26.0,205.9,1,0,0,3.7
594,0,41.2,540.8,1,0,1,1.6
595,0,63.2,142.2,1,0,0,3.0
596,0,29.6,608.5,1,0,1,1.9
597,0,39.5,741.1,1,0,0,0.8
598,0,35.7,628.2,1,1,1,3.4
599,0,40.0,629.1,0,0,1,2.3
600,0,39.8,610.3,0,1,0,4.3
601,1,36.2,715.7,1,0,0,1.3
602,0,52.8,120.0,0,1,1,2.9
603,0,39.7,458.4,0,1,0,3.6
604,1,37.3,562.4,0,0,0,3.3
605,0,39.7,314.1,0,0,1,4.4
606,0,18.9,476.1,1,0,0,3.8
607,1,40.9,886.0,0,0,1,4.3
608,1,28.7,624.4,1,1,1,0.7
609,1,44.5,779.0,0,0,1,1.0
610,1,42.7,668.3,1,0,1,3.2
611,1,49.5,424.9,0,0,1,4.4
612,1,38.9,227.1,1,0,1,3.9
613,0,51.4,424.2,0,1,0,0.8
614,0,44.0,383.2,0,1,0,1.4
615,1,21.9,695.6,1,0,0,4.0
616,1,51.8,506.0,0,1,0,3.2
617,1,24.8,330.9,1,1,1,2.6
618,0,48.4,511.4,0,1,1,2.2
619,0,34.9,357.9,1,1,1,3.2
620,0,45.1,340.4,0,1,0,6.1
621,0,59.3,322.2,0,0,0,1.1
622,1,51.5,692.5,1,0,1,3.5
623,1,34.6,400.2,1,0,0,4.7
624,0,42.7,469.1,1,1,1,2.0
625,0,38.4,480.1,1,0,0,2.4
626,1,39.7,609.3,1,1,1,2.4
627,0,25.0,599.3,1,1,0,2.9
628,0,62.0,391.9,0,1,0,0.0
629,1,44.7,582.8,0,0,0,3.2
630,1,42.3,449.1,0,0,1,2.7
631,0,18.0,691.0,1,1,1,0.9
632,1,25.1,412.4,0,1,1,5.0
633,1,31.3,536.1,1,1,0,1.5
634,0,56.6,443.7,0,0,0,4.5
