id,lwage,educ,quarter1,age,parent_educ
132,3.0183,14.9,0,22.0,11
133,2.0817,12.3,1,46.2,14
134,2.9546,15.3,0,36.1,11
135,2.7297,13.9,0,23.2,12
136,2.3878,12.4,0,39.8,10
137,2.7126,15.5,0,25.3,18
138,2.7469,12.8,0,33.8,13
139,2.198,14.1,0,29.0,11
140,2.7448,14.2,1,32.5,12
141,3.1849,15.5,1,47.0,16
142,2.9527,13.6,1,43.4,12
143,2.6135,13.0,1,36.2,11
144,2.5748,13.7,1,24.8,8
145,2.9286,12.8,1,30.8,10
146,2.3569,12.1,0,35.3,7
147,2.4528,13.5,0,28.9,12
148,2.8433,13.8,0,36.7,13
149,2.2917,15.0,0,33.8,15
150,2.5536,13.0,0,29.2,13
151,3.3825,14.1,0,39.2,16
152,3.2977,15.3,0,30.3,13
153,3.0103,13.0,0,30.7,10
154,2.916,14.2,0,25.7,14
155,2.7421,11.0,1,29.8,11
156,2.45,11.7,1,38.9,11
157,2.1562,11.8,0,46.0,11
158,2.6428,12.0,1,31.5,12
159,3.0238,14.1,0,40.4,15
160,2.3502,13.7,0,28.6,10
161,2.5914,13.2,0,29.7,12
162,2.9707,12.5,0,49.8,13
163,2.7132,10.8,0,39.1,12
164,2.3377,11.5,1,35.9,9
165,2.1093,12.0,0,39.1,18
166,2.8385,14.5,0,33.5,16
167,2.6173,12.0,1,33.0,9
168,2.7998,10.8,0,43.8,6
169,2.9889,14.0,0,32.3,16
170,2.5868,12.3,0,22.0,13
171,2.4669,12.9,0,37.7,9
172,2.8246,12.4,0,46.2,14
173,1.9407,12.7,0,37.4,11
174,2.7952,14.7,0,41.2,12
175,2.9194,13.1,0,36.7,14
176,3.0967,11.9,1,30.0,14
177,3.4092,14.7,0,43.8,16
178,2.7141,14.0,0,33.0,14
179,3.3429,15.5,1,43.7,17
180,2.5839,13.7,1,35.3,13
181,3.0762,14.9,0,39.5,14
182,2.8809,14.8,0,34.8,11
183,2.629,10.7,0,45.9,13
184,2.8048,14.4,0,39.8,11
185,3.2957,15.7,0,36.7,16
186,2.6608,14.2,0,27.4,15
187,2.2153,12.3,1,29.2,12
188,3.4359,14.1,0,32.4,15
189,2.2931,13.9,0,33.4,12
190,3.0572,13.0,1,40.7,13
191,2.7608,13.0,1,38.7,14
192,3.2919,14.6,0,45.1,9
193,2.6094,12.5,1,22.0,14
194,2.6403,13.7,0,50.4,14
195,2.4369,12.8,1,28.6,11
196,2.757,13.0,1,34.3,16
197,2.3542,14.6,1,42.7,16
198,2.9605,11.1,0,49.0,12
199,2.343,12.9,0,22.2,16
200,2.4234,13.5,0,36.6,11
201,3.3059,13.6,0,49.2,13
202,2.8143,14.1,0,34.1,15
203,2.5562,11.6,0,42.0,10
204,2.8269,14.9,0,23.3,12
205,3.1209,13.5,0,37.7,14
206,2.6892,15.1,0,49.9,14
207,2.2575,11.1,0,37.2,13
208,3.0392,13.5,0,46.7,13
209,2.9329,14.1,0,38.1,12
210,2.3305,16.0,1,27.8,16
211,2.7155,13.2,0,22.0,12
212,2.7448,14.5,1,29.3,9
213,2.5472,13.2,0,27.7,13
214,2.5528,11.2,0,40.6,13
215,3.0669,14.8,0,48.2,17
216,3.3257,12.3,0,25.8,11
217,2.7452,12.4,0,41.4,12
218,2.3605,10.7,1,31.5,11
219,2.2733,13.2,0,29.5,13
220,2.7768,11.6,1,39.1,8
221,3.054,15.3,0,36.5,17
222,2.6984,14.3,0,25.7,13
223,2.8803,13.0,0,38.0,15
224,2.6538,13.5,1,39.7,14
225,3.3683,15.5,0,52.5,15
226,3.1385,15.2,0,38.4,14
227,2.8691,14.2,0,28.9,13
228,3.6845,17.3,0,39.1,17
229,2.2735,12.7,0,22.5,9
230,2.056,9.8,1,32.9,6
231,2.6063,13.2,1,47.4,15
232,2.8055,14.0,0,29.2,12
233,2.4693,12.9,0,35.0,13
234,2.994,12.6,0,57.0,15
235,3.1208,12.8,0,48.6,11
236,2.9292,13.4,0,40.2,12
237,2.8351,12.7,0,46.7,12
238,2.7387,14.1,1,34.2,11
239,2.815,12.6,1,36.2,11
240,2.2352,13.7,0,27.7,14
241,1.8908,11.7,1,41.3,13
242,2.9737,14.8,0,40.1,17
243,3.1818,14.3,0,33.6,11
244,1.9461,10.7,0,29.9,11
245,3.3478,13.9,0,50.0,11
246,3.128,15.6,0,22.0,7
247,2.5557,14.6,0,26.9,13
248,3.073,13.2,1,39.1,10
249,2.1102,12.3,1,32.8,13
250,2.4817,13.2,0,32.8,10
251,2.6934,13.9,0,29.9,10
252,2.8865,15.0,1,30.5,13
253,3.2007,14.2,0,39.2,11
254,2.824,14.4,0,40.7,13
255,3.1196,12.5,0,34.9,10
256,2.9882,10.9,1,34.7,12
257,3.0466,15.7,0,36.9,14
258,2.5202,12.0,0,29.3,12
259,1.94,12.3,1,23.3,15
260,2.5605,12.2,0,41.0,9
261,2.6189,14.8,0,28.7,15
262,3.0073,13.8,1,37.9,19
263,2.7791,12.3,0,35.5,12
264,3.2679,15.6,0,35.7,15
265,2.5885,12.3,0,32.2,12
266,2.6134,13.1,0,23.9,13
267,2.7459,13.6,0,36.4,14
268,3.3248,12.3,1,37.2,13
269,2.56,14.7,0,25.9,16
270,2.4069,13.0,0,32.8,14
271,2.7337,13.7,0,41.6,13
272,3.2956,15.3,0,31.8,15
273,3.3454,17.1,1,34.9,14
274,2.7277,12.8,0,43.2,14
275,3.5858,14.4,1,38.1,13
276,2.2485,13.7,0,40.5,14
277,1.7011,11.7,1,27.3,13
278,2.5132,12.3,0,30.4,13
279,2.841,14.4,0,22.0,14
280,3.1255,15.0,0,35.2,11
281,2.4575,14.4,0,22.0,10
282,2.8726,15.4,0,45.2,13
283,3.325,13.4,0,39.7,14
284,3.1104,14.8,1,32.4,12
285,1.9196,12.9,0,39.6,13
286,3.3528,15.3,1,47.0,12
287,2.6051,11.0,1,28.3,14
288,2.6461,12.7,1,22.0,14
289,2.4331,12.9,1,24.8,12
290,2.136,9.5,1,28.3,10
291,2.6023,12.5,0,45.8,9
292,2.5824,12.2,0,35.7,12
293,2.9324,16.3,0,27.4,15
294,2.6125,13.3,0,39.7,9
295,3.2879,14.2,0,47.2,16
296,2.6071,13.7,0,33.6,14
297,2.614,14.5,0,37.7,16
298,2.5279,10.9,1,27.4,16
299,2.8238,12.0,1,54.1,8
300,2.7165,12.9,0,35.1,18
301,2.9082,15.2,0,25.0,10
302,2.8294,11.6,0,37.0,13
303,2.8438,12.4,1,38.8,13
304,2.9437,12.5,0,45.4,15
305,3.1043,15.0,0,40.4,11
306,3.1705,15.5,0,36.0,11
307,2.9691,14.8,0,40.9,11
308,2.8993,15.2,0,44.0,16
309,2.3362,12.8,0,38.1,15
310,1.9962,13.9,0,22.9,14
311,2.9017,12.8,1,28.8,9
312,2.3288,13.4,0,30.0,15
313,2.7626,15.6,0,39.9,13
314,2.7133,12.8,0,36.0,14
315,2.7291,12.4,0,39.3,13
316,2.1294,12.0,0,30.0,13
317,2.5199,13.0,0,30.1,11
318,2.7537,14.3,0,42.7,12
319,2.256,13.6,0,27.6,10
320,3.1803,17.4,0,33.0,13
321,2.6382,11.9,1,36.9,9
322,2.3821,11.4,0,22.4,14
323,2.6076,12.4,0,29.3,10
324,2.8823,13.8,0,29.1,10
325,2.629,12.2,0,48.8,15
326,2.6881,11.8,1,40.0,11
327,2.0531,13.9,0,44.1,15
328,2.6269,16.3,0,26.7,16
329,2.9589,15.3,0,40.5,16
330,2.8472,13.1,1,44.9,12
331,3.2168,15.6,0,46.0,13
332,2.8183,12.3,1,33.7,14
333,3.6587,17.3,0,37.0,15
334,3.0285,15.8,0,39.0,14
335,2.8999,14.5,1,48.6,15
336,2.4517,11.5,0,30.0,10
337,2.8319,14.3,0,39.8,10
338,2.8143,13.8,1,27.5,11
339,2.6681,14.3,0,41.0,10
340,2.5866,12.8,0,30.5,10
341,2.9342,16.4,0,35.9,8
342,3.4233,14.4,0,29.5,9
343,2.3335,12.4,0,28.7,10
344,2.7765,12.8,1,32.6,11
345,2.9506,14.0,0,48.5,12
346,3.2987,14.5,0,37.1,15
347,2.8806,14.0,0,47.7,12
348,2.7129,13.3,1,30.5,11
349,2.8705,14.9,0,31.9,14
350,2.6586,15.6,0,32.3,10
351,2.4929,12.8,0,30.0,11
352,2.7291,13.1,0,32.7,14
353,2.9486,15.0,0,34.7,11
354,2.5292,15.1,0,33.3,10
355,2.7962,16.3,0,31.8,15
356,2.8789,13.5,0,36.4,14
357,2.2635,15.1,0,27.8,10
358,2.6121,12.0,1,47.7,11
359,2.5591,12.9,0,49.3,12
360,2.3497,11.5,0,34.6,15
361,2.2553,13.4,0,28.8,9
362,2.4913,12.9,0,33.6,15
363,2.737,15.0,0,22.0,10
364,2.1219,14.7,0,28.9,10
365,2.1443,11.2,0,41.2,10
366,2.8196,14.9,0,36.8,13
367,3.4155,12.8,0,31.6,11
368,2.2394,14.4,1,32.7,11
369,2.6768,13.9,0,40.6,11
370,2.9279,14.1,1,25.8,8
371,2.2765,11.8,1,24.6,14
372,2.6909,11.3,0,46.5,11
373,3.6548,15.4,1,45.7,14
374,2.5664,11.9,0,38.1,7
375,2.6232,14.3,0,39.8,12
376,2.556,13.4,1,28.1,12
377,2.4818,14.1,0,31.9,12
378,3.0225,14.2,0,38.5,13
379,3.0366,13.7,0,38.1,8
380,2.6522,13.3,0,37.1,14
381,3.2496,14.6,0,39.9,13
382,3.2528,12.9,0,32.5,11
383,2.9403,13.8,0,42.9,14
384,2.1783,12.6,0,46.4,13
385,2.595,13.6,0,22.9,13
386,3.0109,15.0,0,26.9,16
387,3.0516,14.9,0,29.9,14
388,2.3759,13.8,1,26.5,17
389,2.5216,13.0,0,34.8,15
390,2.6931,15.5,0,42.6,13
391,2.6906,14.4,1,31.0,11
392,1.8333,10.5,0,22.0,11
393,2.3251,12.9,1,34.7,13
394,2.8984,14.4,1,41.6,13
395,2.8297,13.5,0,30.1,16
396,3.4158,17.5,0,31.1,17
397,2.2973,12.6,0,33.9,11
398,3.4859,13.8,1,30.3,12
399,2.4219,11.0,0,22.0,12
400,2.6807,13.9,0,32.0,9
401,2.6639,13.9,0,30.0,9
402,2.7222,12.7,1,38.2,12
403,2.6887,13.6,0,30.8,15
404,2.7526,12.3,0,44.4,10
405,3.1834,11.5,1,53.8,12
406,3.108,12.6,0,40.3,9
407,2.3851,12.2,0,40.1,10
408,2.2312,12.4,0,33.8,14
409,2.9332,15.1,0,25.2,15
410,2.8065,12.2,0,40.2,13
411,2.8361,13.5,0,40.6,15
412,2.2249,12.0,0,26.0,9
413,2.6223,15.5,0,25.3,15
414,2.791,14.3,0,39.0,14
415,1.8176,11.3,0,31.1,13
416,2.9792,15.3,0,32.5,10
417,2.9931,11.6,1,48.8,10
418,2.6073,13.8,0,29.6,16
419,3.2787,15.3,0,32.7,15
420,3.2121,16.3,1,44.5,14
421,3.2472,13.5,1,34.3,16
422,2.868,16.6,1,37.3,13
423,1.8655,12.1,0,40.0,12
424,3.0444,14.5,1,31.9,10
425,2.3067,14.4,1,43.1,17
426,2.6131,12.8,0,44.1,15
427,2.7975,13.8,0,23.5,8
428,2.9137,14.9,0,35.5,10
429,2.3806,13.9,0,33.9,14
430,3.2555,14.4,0,45.6,12
431,2.699,13.4,0,31.0,15
432,2.6187,13.3,0,39.1,12
433,3.159,15.0,0,56.0,9
434,2.9002,12.6,0,44.0,12
435,2.1997,12.7,0,34.5,10
436,3.1461,13.4,0,53.8,11
437,2.5191,13.2,0,41.9,15
438,3.008,13.6,0,35.7,15
439,2.5246,13.1,0,38.1,13
440,2.5442,14.2,0,30.2,11
441,2.9993,13.7,0,37.8,13
442,2.2725,12.4,0,34.2,9
443,2.4656,13.8,0,33.7,15
444,2.545,14.0,0,22.0,9
445,2.3342,12.4,0,26.0,13
446,2.6327,12.7,0,30.9,11
447,2.4423,11.3,0,33.2,7
448,2.8957,14.2,0,32.3,14
449,2.9713,14.1,1,25.6,13
450,2.6588,12.1,1,37.7,16
451,2.5931,13.0,1,47.7,11
452,1.9829,9.5,1,30.2,12
453,2.248,15.1,0,25.8,10
454,2.2205,13.2,0,22.6,13
455,2.6341,14.4,0,39.9,12
456,2.5407,11.6,0,39.2,15
457,2.4626,14.4,0,31.8,13
458,2.3938,11.8,0,31.5,10
459,2.5593,13.2,0,25.7,13
460,2.4272,10.6,1,32.7,13
461,1.9663,12.0,0,41.9,10
462,3.3535,15.4,1,52.0,14
463,3.1064,14.2,1,22.0,12
464,2.8636,15.8,0,24.3,10
465,2.4039,13.3,0,22.0,15
466,2.4266,11.1,0,30.1,13
467,2.6658,12.7,0,38.3,14
468,3.1931,13.7,0,30.6,15
469,2.1687,12.7,0,22.0,15
470,2.6858,13.6,0,35.7,12
471,2.9682,15.6,0,24.3,15
472,2.885,14.5,0,31.0,13
473,3.2287,13.8,1,46.2,14
474,2.8349,12.5,1,32.8,9
475,2.7834,12.9,0,37.2,10
476,2.8655,15.0,0,37.7,10
477,2.4787,11.4,0,41.1,9
478,2.2661,14.6,1,23.8,12
479,2.2218,10.9,0,26.0,10
480,2.7961,14.5,0,30.2,15
481,3.434,13.4,0,45.9,15
482,3.1766,15.4,0,32.3,10
483,2.251,11.0,0,37.1,10
484,3.1187,14.2,0,46.3,13
485,2.3461,10.7,1,24.1,12
486,3.6684,13.7,0,46.7,13
487,1.9167,11.0,1,31.5,12
488,2.5438,15.5,0,34.5,11
489,2.9431,11.6,0,43.8,14
490,3.0023,13.5,1,44.2,12
491,2.8343,16.5,0,41.8,11
492,2.7608,17.2,0,47.1,15
493,3.0357,14.9,0,27.4,15
494,2.9948,13.5,0,52.4,11
495,2.1872,12.1,0,27.7,13
496,3.1597,16.4,0,34.1,13
497,3.3375,17.0,0,42.5,11
498,2.6948,13.6,0,40.3,15
499,2.4708,14.3,1,25.3,8
500,3.086,15.6,0,34.5,16
501,2.8639,13.7,0,22.6,13
502,2.4721,12.8,0,33.9,16
503,3.9632,17.1,0,34.2,16
504,2.7802,12.5,1,39.5,13
505,3.1638,15.5,0,43.5,20
506,2.6022,13.7,0,29.6,11
507,2.641,12.3,0,32.6,12
508,2.8918,11.5,0,50.1,17
509,2.0817,11.4,0,22.9,13
510,2.6024,13.2,1,41.0,14
511,2.6773,13.0,0,35.9,13
512,2.5701,13.3,0,43.9,11
513,2.6995,12.5,1,48.2,14
514,2.7893,13.7,0,34.4,12
515,3.0937,15.5,0,44.8,12
516,2.1809,13.6,1,22.0,12
517,2.5255,12.1,1,35.9,14
518,2.3233,12.2,1,37.9,12
519,2.5764,12.2,0,43.6,11
520,3.042,12.9,1,36.1,7
521,2.5069,13.1,0,36.1,10
522,2.6706,14.1,0,34.0,15
523,3.032,15.1,0,39.2,18
524,2.2075,15.1,0,25.0,15
525,2.9278,12.1,0,50.0,13
526,3.0022,15.0,0,39.9,14
527,3.4149,13.8,0,46.8,11
528,3.1782,14.6,0,38.9,14
529,2.7958,12.9,0,40.2,12
530,2.84,11.3,0,45.3,11
531,2.7152,14.8,0,42.2,15
532,3.1349,15.7,0,27.9,15
533,2.6231,12.4,0,35.5,11
534,1.972,10.6,1,28.2,14
535,2.9019,12.3,0,40.6,11
536,2.9656,14.6,1,25.1,15
537,2.1615,12.0,0,33.7,9
538,3.0477,13.3,0,32.7,9
539,2.2921,14.0,0,35.8,13
540,2.6122,14.0,1,45.4,13
541,3.0957,14.1,0,28.3,15
542,3.0686,12.7,1,49.7,12
543,3.1349,15.3,1,36.2,10
544,2.5055,12.5,1,36.8,13
545,3.5197,14.2,1,31.8,13
546,2.9691,13.6,0,32.3,9
547,2.5325,14.5,0,36.3,14
548,2.9438,14.1,0,34.0,16
549,2.9306,13.7,0,49.7,10
550,2.6557,14.5,1,24.5,12
551,3.0678,13.0,0,43.0,13
552,2.6629,15.1,0,33.8,12
553,2.3348,12.6,0,24.5,15
554,2.4045,13.1,0,23.8,7
555,2.8658,15.0,0,37.7,14
556,2.9406,15.7,0,33.7,12
557,2.3032,13.0,0,30.3,9
558,3.1869,14.7,1,39.6,12
559,2.8739,15.4,0,22.0,12
560,2.7877,15.0,0,28.1,16
561,2.6102,13.8,0,40.4,10
562,3.1876,12.1,0,48.5,6
563,3.1849,13.8,0,48.6,14
564,2.418,12.4,1,47.1,12
565,2.3024,12.6,0,30.6,10
566,2.76,11.7,0,40.3,10
567,2.9732,12.1,0,32.8,10
568,2.9668,13.2,0,44.5,10
569,2.3588,13.4,0,29.1,11
570,2.3923,11.2,1,25.7,10
571,2.866,15.1,0,22.0,14
572,2.908,15.7,0,27.8,13
573,2.2724,11.4,0,24.0,11
574,1.9254,12.6,0,30.1,13
575,2.6353,11.4,0,32.1,15
576,3.0524,15.5,0,30.5,19
577,2.9188,12.4,0,39.9,10
578,2.7479,15.3,1,26.8,14
579,2.2115,12.9,0,23.9,12
580,2.9934,13.8,1,24.4,16
581,2.7427,13.4,0,44.3,11
582,2.2847,13.9,0,26.0,15
583,3.0473,12.7,0,44.1,11
584,2.7339,15.1,0,34.2,8
585,2.4636,11.5,1,28.2,12
586,3.2253,15.8,0,27.5,7
587,2.9762,16.1,0,41.1,16
588,3.3418,13.8,1,39.9,10
589,3.0791,13.5,0,33.0,10
590,3.036,13.5,0,41.4,19
591,2.7573,13.6,0,29.9,13
592,2.8305,16.3,0,27.7,16
593,2.71,13.9,0,36.3,14
594,2.8804,13.0,0,39.9,13
595,2.4049,12.8,0,33.4,12
596,2.1717,12.4,1,37.3,15
597,2.8636,14.7,0,29.1,15
598,2.8871,15.8,0,22.0,12
599,2.6954,14.2,0,43.7,12
600,2.1621,12.2,1,22.0,14
601,2.7593,15.4,0,34.4,12
602,3.0009,14.1,0,42.9,11
603,2.6128,14.1,0,30.1,10
604,3.2456,13.4,0,41.1,14
605,2.3133,11.5,0,43.4,10
606,2.7149,12.8,0,52.0,11
607,3.1695,14.0,0,28.1,12
608,2.8777,15.6,0,47.1,15
609,2.4694,12.7,1,33.1,10
610,2.5619,13.5,0,27.3,15
611,3.0482,14.2,0,46.0,12
612,2.9983,11.8,0,22.1,12
613,2.0642,12.2,1,38.1,9
614,2.6415,15.3,0,33.4,13
615,2.5914,14.6,0,29.9,14
616,3.4546,15.7,1,36.6,9
617,2.5719,13.1,0,45.7,8
618,2.3354,12.7,0,28.0,14
619,2.9028,15.6,0,43.7,15
620,2.9246,15.6,0,22.0,14
621,3.8878,17.4,0,49.5,16
622,2.819,13.7,0,33.0,14
623,2.5053,12.2,0,38.7,10
624,2.7853,13.6,1,35.4,11
625,2.5065,11.8,0,38.8,11
626,2.6162,14.6,0,27.6,9
627,2.7934,12.0,0,39.5,16
628,2.675,14.1,0,38.1,12
629,2.5778,14.9,0,29.1,15
630,2.4696,12.1,0,34.7,8
631,2.8642,14.7,0,45.7,17
632,2.6481,13.1,0,22.9,14
633,3.1349,14.4,0,47.5,8
634,2.4813,12.7,0,41.0,14
635,2.7563,15.4,0,41.3,15
636,3.1117,13.8,1,36.1,13
637,2.4872,14.5,0,37.3,13
638,3.5747,14.2,1,46.8,13
639,2.9703,13.0,0,43.9,12
640,2.6421,15.4,0,27.3,17
641,2.8534,13.6,0,28.2,13
642,2.3501,12.1,0,33.1,9
643,3.4456,16.0,0,30.2,13
644,2.7778,12.1,1,38.7,15
645,2.6676,12.1,0,28.5,11
646,2.8551,11.5,0,33.0,9
647,2.4202,11.5,0,29.4,14
648,2.8139,13.6,0,36.7,9
649,2.5566,13.8,0,22.0,11
650,2.7915,13.0,0,23.6,17
651,3.4044,14.2,0,50.8,10
652,3.1373,14.8,1,31.3,11
653,2.2059,12.4,0,25.1,11
654,2.4349,11.6,0,26.6,13
655,3.1578,14.3,0,43.8,12
656,2.8821,14.5,0,44.1,18
657,3.0085,13.9,1,34.2,13
658,2.6696,13.0,0,43.7,11
659,2.5134,12.6,0,33.5,15
660,3.0607,14.2,0,37.2,8
661,2.6895,12.9,0,40.3,13
662,3.5731,13.7,0,42.5,12
663,2.7736,13.8,0,45.5,12
664,2.2426,11.7,0,23.9,14
665,2.9125,13.2,0,43.8,15
666,3.0331,14.0,1,33.6,16
667,2.4358,12.5,0,36.8,11
668,2.6701,13.1,0,34.2,20
669,2.8657,13.4,1,28.5,13
670,3.5415,15.7,0,38.4,11
671,2.6712,15.0,1,41.0,13
672,3.2217,14.4,0,26.6,13
673,3.5199,15.1,1,43.2,12
674,2.8838,12.3,0,47.0,15
675,2.7666,11.6,1,31.4,10
676,2.8075,13.1,1,24.0,13
677,2.8752,12.9,1,39.3,13
678,3.0103,15.6,0,34.7,11
679,2.7504,11.0,0,33.4,16
680,2.746,15.1,0,30.1,13
681,3.1138,13.9,0,47.3,14
682,2.5458,14.8,1,24.5,16
683,2.8494,13.4,0,37.8,13
684,2.3312,14.1,0,28.4,12
685,2.3381,13.0,0,26.5,7
686,2.9385,12.7,1,22.0,15
687,3.0947,14.7,0,37.6,13
688,2.7826,14.7,1,49.9,16
689,2.2165,11.4,0,28.9,11
690,3.6657,15.0,0,49.4,13
691,2.1626,10.0,0,29.1,10
692,2.3266,12.7,0,22.0,11
693,3.2479,15.3,0,40.6,16
694,2.2646,11.8,1,24.4,14
695,2.3125,12.9,1,25.0,11
696,3.2715,13.9,0,44.7,11
697,2.5526,12.0,0,27.6,10
698,2.6542,13.7,0,29.8,15
699,3.2959,15.2,0,38.1,10
700,2.8824,13.6,0,38.9,11
701,2.7276,13.7,0,44.6,17
702,2.1332,11.9,0,34.3,15
703,2.8218,15.5,0,34.5,14
704,2.0419,14.4,0,24.7,11
705,3.7904,15.5,1,32.6,20
706,2.5764,13.7,0,41.2,13
707,3.2722,13.6,0,38.0,15
708,2.9657,14.3,0,43.0,14
709,2.7919,14.7,0,33.0,15
710,3.0298,12.3,0,42.1,8
711,2.7413,12.6,0,26.9,11
712,2.8788,12.5,1,50.5,10
713,3.0029,11.6,0,40.1,13
714,2.8619,16.0,1,35.7,10
715,2.9959,13.4,0,40.9,16
716,3.1825,15.9,0,33.3,17
717,3.1495,15.5,1,30.4,9
718,2.2753,13.2,0,28.6,15
719,2.8817,12.5,0,30.0,8
720,3.1803,13.4,1,41.0,12
721,2.5802,11.6,0,30.4,10
722,3.2403,12.3,1,28.8,11
723,3.3998,14.0,0,22.8,9
724,2.8524,13.7,1,28.2,13
725,2.9157,13.4,0,38.3,8
726,2.5869,11.4,0,41.1,16
727,2.6061,14.8,0,33.8,12
728,3.3183,11.8,0,39.5,11
729,2.7789,13.8,0,34.2,11
730,2.4855,13.0,0,34.3,13
731,2.9072,14.1,0,31.5,13
732,2.9509,11.8,1,50.0,14
733,2.4755,14.7,0,26.4,10
734,2.4812,12.3,1,31.0,11
735,2.5814,12.9,0,22.0,12
736,2.7039,13.7,1,34.2,11
737,2.618,12.4,0,38.0,12
