id,satisfaction,study_hours,attendance,part_time,online,prior_score
154,2,5.4,82.6,1,0,82.3
155,2,9.5,91.3,0,0,58.0
156,3,10.5,81.0,0,1,71.0
157,3,0.6,96.8,0,0,81.9
158,2,1.6,69.2,0,0,42.1
159,5,6.4,86.5,0,0,49.1
160,4,3.4,86.0,1,0,53.4
161,3,10.2,83.3,1,0,46.3
162,3,8.9,82.9,1,1,70.8
163,3,10.9,91.5,0,0,59.3
164,2,5.8,85.6,1,1,64.7
165,3,7.0,78.7,1,0,78.7
166,3,5.3,77.7,1,1,64.5
167,1,8.8,78.4,0,0,42.2
168,1,11.4,77.9,0,0,56.4
169,4,3.1,84.5,0,0,63.9
170,5,8.5,71.6,1,1,66.1
171,2,3.8,71.4,1,0,72.1
172,3,3.5,82.2,0,0,55.7
173,3,5.5,99.9,0,1,67.1
174,2,3.9,79.7,0,0,69.5
175,2,7.6,61.9,1,0,66.2
176,1,4.8,57.4,1,0,64.8
177,4,11.5,75.3,1,1,83.0
178,1,6.0,73.3,0,0,75.0
179,3,4.1,95.4,0,0,54.6
180,3,6.0,82.7,1,1,56.2
181,4,5.9,90.6,0,0,59.1
182,5,15.9,88.7,1,1,75.2
183,5,7.9,81.4,1,1,76.4
184,4,12.2,94.1,1,0,64.4
185,5,6.2,76.4,1,0,99.7
186,4,15.1,83.1,0,0,63.5
187,5,13.2,100,0,1,69.3
188,2,5.6,64.2,0,0,60.1
189,4,10.5,93.5,0,1,65.0
190,4,8.6,65.4,0,0,58.0
191,4,6.8,98.9,0,0,65.6
192,1,12.9,87.1,0,0,76.6
193,4,10.7,88.8,1,0,100
194,2,12.4,78.1,1,1,59.5
195,4,6.6,80.8,0,0,57.2
196,3,8.6,85.7,0,0,73.2
197,5,5.1,76.1,1,0,80.6
198,2,6.7,70.5,1,0,58.6
199,5,10.8,81.4,0,0,41.3
200,5,9.1,88.4,0,0,78.8
201,3,8.4,87.0,0,0,77.4
202,3,9.1,97.3,0,0,64.7
203,3,2.4,90.1,0,0,100
204,4,8.6,75.9,1,0,60.5
205,4,6.5,70.6,0,1,76.6
206,4,4.7,75.9,1,0,51.1
207,5,10.1,100,0,0,72.4
208,5,4.4,68.3,0,0,49.1
209,5,11.8,86.4,0,0,62.0
210,3,8.3,98.3,1,1,45.0
211,5,10.3,100,0,0,82.3
212,5,11.4,76.1,0,0,77.7
213,2,7.2,73.9,1,0,56.6
214,4,9.5,90.2,1,1,74.2
215,4,3.8,72.2,0,1,60.2
216,3,12.3,88.9,1,1,46.0
217,3,7.9,86.0,1,0,69.6
218,5,10.5,83.6,1,0,65.0
219,4,7.7,86.2,1,0,69.9
220,3,5.3,83.4,0,0,42.9
221,4,11.3,92.4,1,1,74.0
222,2,6.3,74.3,1,0,63.1
223,3,5.2,62.2,0,1,54.8
224,5,8.4,78.7,0,1,48.7
225,1,6.5,85.8,0,0,55.4
226,1,10.2,78.5,0,0,66.3
227,4,7.4,86.9,1,1,96.6
228,5,8.8,97.9,0,0,74.3
229,5,11.2,84.7,1,1,81.6
230,5,7.7,80.5,0,0,62.9
231,4,10.1,76.9,1,1,70.9
232,1,8.0,85.0,1,0,66.8
233,2,9.8,82.3,1,0,78.9
234,2,9.6,87.3,0,0,63.9
235,5,11.1,81.9,1,0,72.2
236,3,2.9,80.1,1,0,68.8
237,2,4.4,75.0,1,0,90.4
238,1,10.5,62.9,0,0,69.3
239,4,5.5,86.6,0,1,46.8
240,3,4.9,100,0,0,50.3
241,5,6.7,88.5,0,1,43.2
242,5,12.8,91.7,0,0,76.0
243,3,9.5,69.8,1,0,75.9
244,4,9.3,97.1,0,1,66.3
245,1,10.0,66.7,1,0,60.7
246,4,7.8,74.6,0,1,54.1
247,2,7.6,76.8,0,1,79.2
248,5,12.1,85.7,0,0,75.3
249,2,6.3,69.8,0,1,100
250,3,12.1,95.3,0,1,66.6
251,4,12.8,97.1,1,1,70.0
252,5,12.2,87.8,0,0,82.4
253,1,11.4,81.1,0,0,78.4
254,2,6.5,77.5,0,0,67.6
255,3,11.1,88.8,1,1,75.0
256,3,8.5,68.0,0,0,79.5
257,1,7.9,87.2,1,0,63.6
258,5,10.4,93.3,1,0,53.4
259,5,9.9,84.1,0,0,85.2
260,4,10.1,57.0,1,0,72.8
261,4,8.6,95.9,1,1,57.2
262,3,11.0,71.6,0,1,76.4
263,2,7.3,83.9,0,0,74.9
264,1,10.2,78.4,1,0,73.6
265,3,6.4,80.9,0,0,80.4
266,2,0,63.9,1,1,58.2
267,1,7.9,78.3,1,0,65.1
268,4,1.5,85.2,0,0,75.5
269,3,5.5,90.1,0,0,56.3
270,3,8.7,90.5,1,0,68.8
271,1,5.9,95.4,1,0,47.4
272,3,10.4,78.2,0,0,52.1
273,4,7.9,96.1,1,1,81.0
274,3,2.1,83.2,0,0,76.5
275,3,7.4,91.8,0,1,58.7
276,4,9.4,83.3,0,0,75.9
277,4,9.9,92.9,0,1,48.7
278,1,3.2,81.7,0,0,80.1
279,5,8.1,88.3,1,0,79.3
280,3,1.9,70.5,1,1,79.6
281,3,10.6,78.7,1,1,82.4
282,2,9.4,70.9,0,1,46.6
283,4,4.8,76.0,0,0,68.3
284,4,14.6,77.1,1,0,68.1
285,1,3.5,82.0,1,0,70.8
286,5,6.3,58.1,0,0,69.2
287,5,10.6,92.9,1,1,61.3
288,1,8.0,80.2,1,1,46.2
289,2,4.8,84.2,0,0,67.0
290,1,9.8,71.7,0,0,73.7
291,4,10.4,87.3,0,0,68.6
292,2,5.5,88.9,1,1,35.9
293,3,9.7,92.9,0,1,69.8
294,5,9.8,72.9,1,0,73.0
295,4,10.9,98.4,1,1,68.9
296,5,6.2,81.5,1,1,54.1
297,3,11.5,93.9,0,1,73.9
298,2,11.2,75.4,0,1,75.0
299,5,7.3,75.4,1,0,73.5
300,3,3.5,82.0,0,1,69.0
301,3,10.3,79.5,1,0,57.7
302,5,9.2,78.5,0,1,87.2
303,4,7.4,73.4,0,0,73.7
304,5,7.7,98.1,0,1,76.2
305,4,2.6,75.7,0,0,81.5
306,1,5.7,86.1,0,0,40.8
307,5,11.6,87.0,0,0,61.2
308,2,1.0,80.7,1,0,72.1
309,3,7.9,74.5,0,1,84.2
310,4,9.9,67.1,0,0,59.4
311,3,13.5,75.8,0,0,77.0
312,2,3.6,76.0,1,1,62.5
313,5,6.5,77.0,1,0,58.1
314,4,8.9,74.3,0,1,73.3
315,5,7.5,97.9,1,0,82.1
316,4,7.7,73.7,1,0,78.7
317,4,9.7,88.8,0,1,68.7
318,3,6.8,97.4,1,0,65.1
319,4,8.7,93.4,1,0,65.9
320,2,6.3,74.4,1,1,56.2
321,3,11.7,88.2,0,0,68.5
322,3,8.7,72.6,0,0,71.6
323,2,4.8,89.3,0,1,73.2
324,3,3.6,78.6,0,0,69.9
325,5,14.3,88.3,0,0,60.4
326,3,9.0,87.0,0,0,82.7
327,3,3.8,91.7,0,0,77.9
328,4,6.7,90.9,0,1,77.2
329,5,7.5,87.9,1,0,75.1
330,1,7.2,77.0,0,0,66.1
331,2,9.6,90.0,0,0,72.3
332,4,4.9,70.0,0,1,69.2
333,2,13.0,77.9,1,0,43.0
334,5,6.4,71.7,1,0,68.8
335,4,7.1,93.9,0,0,58.8
336,2,4.1,78.8,1,0,56.3
337,2,7.4,85.2,0,1,63.2
338,3,11.4,70.4,0,0,72.3
339,1,8.7,77.1,1,1,71.1
340,3,9.4,83.2,1,0,54.8
341,2,4.4,82.6,0,1,63.6
342,3,11.2,100,1,0,86.3
343,4,4.2,71.4,0,1,39.9
344,4,10.5,78.7,0,1,88.1
345,3,9.9,88.0,1,0,56.3
346,5,8.9,86.9,1,1,50.4
347,5,8.7,88.7,1,0,44.0
348,3,14.4,98.7,0,1,52.8
349,5,5.8,84.5,0,1,68.6
350,5,8.8,79.8,1,0,82.3
351,3,11.6,60.1,0,1,46.0
352,3,5.1,83.9,1,1,41.2
353,5,6.3,91.8,0,0,86.8
354,3,10.3,77.5,0,1,72.9
355,5,7.4,76.7,0,0,60.0
356,3,5.7,95.3,0,0,76.5
357,4,11.5,74.1,0,0,50.5
358,3,13.4,92.5,1,0,72.9
359,1,3.0,77.8,1,0,58.4
360,3,9.1,87.0,1,0,54.9
361,2,5.5,84.5,1,0,80.8
362,3,7.2,91.4,0,0,88.4
363,4,9.7,79.6,1,1,65.6
364,5,7.5,85.5,0,1,75.7
365,2,5.1,97.4,0,1,44.6
366,4,11.0,85.5,1,1,57.3
367,5,8.2,89.8,0,1,58.4
368,4,11.3,72.1,0,0,93.5
369,3,7.5,62.4,0,0,55.0
370,3,7.2,85.5,0,0,79.5
371,3,10.3,82.5,1,0,66.8
372,5,8.2,82.2,0,1,64.1
373,2,6.7,76.4,0,0,62.4
374,3,8.9,88.3,0,0,47.5
375,1,6.8,71.7,0,0,69.5
376,3,8.1,77.6,0,1,72.7
377,3,7.7,87.8,1,1,54.3
378,3,4.1,88.1,0,0,74.8
379,5,7.3,96.9,1,0,76.4
380,4,9.6,70.5,0,0,78.5
381,1,5.1,66.7,0,1,43.3
382,2,5.5,97.1,0,0,60.2
383,5,8.3,87.7,0,1,80.8
384,5,6.8,82.7,1,1,73.0
385,3,6.8,85.2,0,0,78.1
386,3,7.5,71.6,0,0,72.1
387,4,4.6,62.4,0,0,64.1
388,3,8.4,86.8,1,0,62.7
389,4,7.7,79.2,0,0,78.0
390,2,7.0,80.4,1,0,78.6
391,3,5.8,73.8,0,0,52.3
392,3,10.1,91.5,0,1,96.4
393,2,9.4,79.8,0,0,71.3
394,3,11.3,90.2,0,0,71.3
395,4,9.6,86.5,1,0,54.6
396,4,8.4,78.4,0,0,86.0
397,5,9.9,85.7,0,0,75.6
398,3,2.0,78.2,0,0,57.3
399,5,6.5,91.6,0,1,65.0
400,2,8.4,91.4,1,0,81.5
401,1,6.3,78.1,0,0,81.4
402,3,5.6,71.5,0,1,80.2
403,4,6.7,80.1,0,1,83.0
404,5,6.2,90.6,0,0,42.0
405,1,4.0,84.7,0,1,57.2
406,5,11.3,81.9,0,1,73.9
407,5,8.7,81.0,0,1,72.2
408,5,4.0,90.4,0,0,66.1
409,4,9.7,75.7,0,1,78.2
410,3,9.8,93.4,0,1,62.4
411,5,7.2,80.3,0,0,93.3
412,3,2.9,80.2,1,0,54.4
413,3,3.9,75.0,0,0,74.2
414,4,7.6,87.5,1,0,82.1
415,5,2.0,88.2,0,1,67.1
416,2,4.1,66.2,0,0,62.2
417,3,7.3,86.8,0,1,77.1
418,1,8.4,71.7,0,0,91.4
419,3,8.7,88.4,1,0,71.4
420,1,5.1,67.8,1,0,55.7
421,2,7.1,71.7,1,0,67.6
422,2,9.5,79.1,0,0,74.8
423,5,8.9,82.6,0,0,83.4
424,3,0.4,90.5,1,0,62.5
425,5,9.1,82.9,0,1,74.3
426,5,7.7,81.4,1,1,63.8
427,5,10.5,73.7,1,1,69.4
428,1,6.3,70.7,0,0,65.1
429,4,7.4,100,1,0,73.4
430,4,8.6,80.6,0,1,88.3
431,4,8.5,80.0,1,1,74.9
432,3,11.8,74.1,1,1,76.5
433,5,6.0,93.1,0,1,71.7
434,4,9.3,96.8,0,1,70.4
435,2,7.0,83.2,0,0,65.1
436,3,5.8,75.6,1,0,54.9
437,3,4.8,65.6,1,1,70.7
438,2,5.4,69.5,0,0,67.4
439,5,9.4,63.9,1,0,62.4
440,3,7.7,86.0,0,0,76.8
441,3,14.1,80.9,1,0,62.4
442,5,11.1,100,0,0,85.4
443,1,8.8,71.4,0,0,48.0
444,2,4.7,70.1,1,0,56.0
445,4,8.9,85.9,0,0,70.2
446,3,5.0,91.0,1,1,81.1
447,4,6.4,85.4,0,0,86.0
448,4,11.7,97.5,0,0,62.8
449,3,7.4,91.0,0,0,67.9
450,4,9.1,98.3,1,1,74.9
451,5,7.9,68.6,0,1,57.6
452,1,5.0,95.0,1,1,74.7
453,4,9.5,71.7,1,0,66.2
454,1,7.3,91.9,1,0,51.3
455,2,5.3,80.6,0,1,67.9
456,4,6.9,73.5,1,1,61.9
457,3,6.1,86.7,1,1,81.0
458,3,8.7,76.5,0,0,75.6
459,5,8.3,90.9,1,0,66.9
460,4,7.0,100,1,1,70.9
461,4,12.6,83.1,1,0,81.9
462,5,11.0,95.8,1,0,49.2
463,3,10.4,89.9,1,0,78.4
464,2,3.2,84.4,1,0,65.1
465,2,9.7,85.4,1,0,85.3
466,4,8.1,81.1,0,1,77.4
467,2,7.0,88.0,1,0,43.9
468,3,12.8,88.5,0,0,53.7
469,3,7.0,72.2,0,0,53.4
470,1,5.9,80.7,0,1,77.9
471,2,11.3,58.1,1,0,72.5
472,2,5.6,76.4,1,0,53.2
473,4,10.3,78.6,1,1,82.9
474,3,13.2,75.6,0,0,79.6
475,3,8.8,73.0,1,1,80.6
476,4,10.4,80.8,1,1,63.5
477,2,6.6,82.8,1,0,59.2
478,5,5.1,91.0,0,1,55.0
479,5,9.6,75.7,1,0,75.2
480,3,10.5,68.6,0,1,94.6
481,3,5.8,89.5,0,0,58.2
482,3,9.6,79.1,1,1,73.7
483,4,8.7,96.3,0,0,61.6
484,3,5.7,80.0,0,0,74.0
485,2,2.1,76.4,1,1,46.7
486,4,8.1,96.7,0,1,72.8
487,5,8.6,80.0,0,1,82.2
488,2,4.7,70.7,1,0,80.1
489,2,1.6,83.9,0,1,57.2
490,4,5.4,73.1,1,0,66.0
491,3,7.3,77.2,0,0,55.4
492,2,5.6,65.2,1,0,49.7
493,1,8.2,85.2,1,0,37.1
494,2,10.8,89.4,1,0,78.6
495,5,6.5,85.1,1,1,60.3
496,4,9.1,85.5,0,0,89.2
497,3,4.1,74.7,0,0,43.7
498,3,13.6,62.2,1,1,81.2
499,4,3.0,71.3,0,1,73.2
500,4,9.7,74.1,0,1,76.0
501,5,6.9,60.0,0,0,71.1
502,3,1.1,82.7,1,0,59.9
503,4,8.1,99.9,1,0,66.8
504,5,3.3,92.0,1,1,71.8
505,3,5.6,78.5,1,0,66.4
506,1,6.5,81.3,0,0,61.5
507,2,2.9,84.4,1,1,58.8
508,5,2.0,93.1,0,1,70.3
509,3,7.4,80.6,0,0,81.1
510,5,10.0,74.4,1,0,86.0
511,5,5.4,89.5,0,0,58.9
512,3,10.0,74.9,0,1,67.5
513,2,6.4,67.7,1,1,78.9
514,2,8.1,79.1,1,0,64.3
515,2,6.4,87.9,0,1,75.2
516,5,8.1,71.8,0,1,74.6
517,4,9.0,85.5,0,0,78.6
518,1,4.8,91.7,0,0,54.2
519,5,9.2,71.3,0,0,54.8
520,3,9.9,68.8,0,0,48.9
521,3,8.0,79.7,1,0,51.5
522,3,7.6,78.2,1,0,65.3
523,3,4.9,74.4,1,1,41.8
524,2,6.1,90.0,1,1,73.5
525,5,10.3,91.4,1,0,76.5
526,2,4.4,80.7,0,0,80.2
527,2,6.6,58.9,1,0,66.5
528,4,15.3,80.6,1,0,33.9
529,4,2.3,100,1,0,86.3
530,4,6.9,86.4,0,0,90.0
531,1,7.9,86.9,1,0,75.8
532,5,5.1,85.6,0,0,73.7
533,5,12.2,100,0,0,52.2
534,2,4.1,71.0,1,0,65.4
535,5,7.9,79.3,0,1,65.7
536,3,11.7,61.5,0,0,47.2
537,4,10.5,98.3,1,0,87.2
538,4,12.3,100,1,0,74.6
539,3,13.5,77.2,0,1,57.0
540,5,9.5,80.5,0,1,85.0
541,2,9.1,96.5,0,1,78.5
542,5,8.3,67.1,1,1,73.6
543,3,7.4,88.6,1,0,48.5
544,4,9.6,71.7,1,0,74.2
545,3,10.1,66.8,1,0,83.0
546,3,10.8,73.8,1,1,77.9
547,3,7.0,84.9,1,1,71.5
548,4,0.3,88.7,0,0,63.3
549,5,15.5,86.7,0,0,66.4
550,5,2.8,78.0,0,1,61.7
551,1,7.9,82.7,1,0,64.3
552,4,10.5,83.2,0,0,67.7
553,5,11.1,90.4,1,0,69.1
554,5,5.6,71.8,1,0,87.0
555,3,9.3,97.8,1,0,80.5
556,4,6.5,91.5,0,1,65.5
557,1,11.8,97.4,1,0,51.0
558,1,9.2,94.2,1,1,53.8
559,2,9.4,94.1,0,1,62.5
560,2,5.1,73.0,1,0,64.8
561,5,7.4,80.8,0,1,44.7
562,4,10.6,76.2,0,1,85.7
563,5,6.1,74.4,1,1,49.6
564,3,7.5,98.1,1,0,80.3
565,4,16.1,96.7,1,0,63.5
566,4,9.2,80.2,1,0,60.4
567,4,8.0,60.9,0,1,68.4
568,1,5.3,76.5,0,1,71.1
569,4,10.7,79.8,0,1,60.8
570,2,11.5,69.6,0,0,69.4
571,4,11.8,82.8,0,1,77.5
572,3,12.0,81.8,0,0,78.8
573,5,14.1,83.1,1,0,76.1
574,4,7.9,85.6,0,1,71.5
575,5,12.6,87.9,0,0,50.6
576,5,7.5,70.0,0,0,80.9
577,4,7.3,69.4,0,0,67.7
578,1,2.2,88.1,1,0,56.6
579,3,9.3,77.9,0,0,55.9
580,3,3.4,88.9,1,1,76.2
581,3,7.5,91.8,0,0,49.0
582,3,9.9,92.2,1,1,60.7
583,2,8.7,73.0,0,1,41.0
584,5,6.3,76.0,0,1,75.2
585,4,8.5,87.9,1,1,71.9
586,5,8.2,96.9,0,0,52.6
587,2,5.9,91.2,0,1,73.6
588,5,7.4,91.7,0,0,65.8
589,4,8.8,66.7,1,0,72.2
590,4,3.1,71.8,1,1,65.9
591,2,8.3,65.1,0,0,74.1
592,5,2.7,79.7,1,0,75.1
593,2,8.7,86.2,0,0,54.6
594,5,8.6,82.1,0,1,50.9
595,5,12.2,100,1,0,70.5
596,5,2.8,99.4,0,0,63.9
597,5,11.1,88.3,1,1,87.4
598,5,5.9,91.8,0,0,54.3
599,3,8.3,73.7,1,0,60.5
600,5,9.9,89.9,0,1,86.6
601,2,9.0,65.6,0,0,61.1
602,3,4.7,74.5,0,0,62.1
603,4,7.8,78.4,0,1,65.3
604,4,6.0,79.6,0,0,62.8
605,3,7.0,91.1,0,0,69.8
606,5,10.8,68.3,1,0,85.5
607,5,13.4,74.6,0,0,61.0
608,4,11.7,95.0,1,1,73.6
609,4,9.8,100,1,0,73.3
610,2,14.1,74.1,1,0,67.3
611,4,7.4,69.1,1,0,91.9
612,1,5.4,61.9,0,0,71.1
613,1,4.5,65.3,0,1,77.5
614,4,12.2,89.9,0,1,81.7
615,4,7.0,81.5,1,1,88.2
616,2,8.4,68.7,0,0,68.0
617,4,8.7,79.3,1,0,79.5
618,5,4.7,88.4,0,0,75.6
619,4,4.0,90.6,0,0,75.2
620,1,6.1,93.2,1,1,74.1
621,3,7.1,72.0,0,1,63.9
622,2,11.6,80.5,0,0,67.4
623,4,8.8,83.4,0,1,72.2
624,2,6.7,87.4,0,0,67.4
625,2,3.5,76.0,0,0,76.3
626,4,3.1,89.1,1,0,60.4
627,2,6.3,82.9,1,0,67.3
628,3,9.3,92.8,0,0,61.9
629,4,11.2,85.6,0,1,71.8
630,2,5.6,80.2,1,0,82.2
631,3,7.5,84.2,1,1,84.8
632,5,2.3,79.4,1,0,62.2
633,1,8.5,68.0,0,0,61.7
634,5,6.2,61.2,1,0,54.5
635,4,7.8,83.5,0,1,78.6
636,2,10.0,78.3,0,0,53.1
637,4,6.4,79.4,1,0,61.5
638,4,5.4,91.2,1,0,78.2
639,3,4.1,79.1,0,0,46.4
640,3,6.1,86.1,1,0,63.6
641,5,6.2,84.3,0,1,45.6
642,2,6.9,74.6,0,0,49.4
643,2,7.8,74.2,0,0,56.2
644,4,8.2,81.0,0,1,56.3
645,4,4.7,82.8,0,1,58.8
646,2,11.2,78.2,1,0,55.2
647,5,9.2,69.7,0,1,74.8
648,4,5.4,93.4,0,1,80.4
649,2,2.6,85.3,0,0,69.1
650,2,12.7,79.4,0,1,56.9
651,2,7.3,72.9,0,0,87.5
652,4,9.5,93.7,0,0,66.8
653,5,2.6,94.1,0,1,65.8
654,3,6.3,71.8,1,0,73.4
655,5,7.4,82.0,0,0,74.3
656,2,1.0,66.7,0,0,56.5
657,4,5.3,85.5,0,0,73.2
658,3,5.7,86.1,1,0,68.8
659,5,7.7,69.3,0,1,100
660,2,12.8,69.0,1,1,71.4
661,5,8.6,84.0,0,1,56.8
662,5,7.4,79.5,0,0,70.2
663,3,9.8,100,1,1,73.1
664,4,11.0,89.4,1,1,91.3
665,3,0,78.8,0,1,65.9
666,3,8.1,88.2,1,0,66.4
667,5,6.1,84.0,0,1,77.5
668,4,11.3,89.1,1,0,72.4
669,4,5.6,90.9,0,1,50.9
670,1,8.1,72.8,1,0,67.0
671,4,8.9,82.9,1,0,55.7
672,3,8.8,80.3,0,1,55.6
673,4,5.4,83.6,0,0,62.3
674,3,8.5,87.3,1,0,63.1
675,3,6.4,91.9,0,0,70.9
676,3,9.4,83.7,0,0,71.8
677,4,10.8,72.2,0,1,60.3
678,3,5.8,71.6,0,0,73.5
679,4,9.5,77.1,1,1,64.5
680,5,8.1,87.4,0,1,67.9
681,4,8.9,90.4,0,1,71.3
682,3,10.7,60.0,1,1,65.6
683,5,14.1,93.4,1,0,69.4
684,4,8.1,82.0,0,0,70.8
685,5,6.8,85.5,1,0,96.0
686,1,6.1,80.3,1,0,57.8
687,3,5.1,78.7,0,1,76.1
688,3,8.8,86.3,0,0,69.2
689,4,9.2,67.2,0,0,55.9
690,3,8.1,89.6,0,0,73.6
691,2,6.6,52.7,0,0,87.4
692,3,11.4,93.6,1,0,59.4
693,1,2.9,61.4,0,0,78.6
694,4,10.9,92.2,0,0,63.5
695,3,8.0,85.4,1,1,67.7
696,3,13.9,79.9,1,0,62.4
697,2,8.2,80.9,0,0,62.1
698,3,10.1,89.4,0,0,79.7
699,4,8.1,87.3,1,0,68.3
700,4,7.2,89.8,1,1,67.6
