idcode,age,married,never_1,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,ln_wage,hours,ttl_exp,tenure,collgrad_ttl_exp,race,un_union
315,38,0,0,16,1,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,0,29.72623,3.392029821,50,14.88461,1.5,14.88461,1,1
319,45,1,0,12,0,0,SMSA,0,Professional Services,Laborers,1,4.492752,1.502465432,18,8.346154,2.666667,0,1,0
322,41,0,0,14,0,0,nonSMSA,0,Wholesale/Retail Trade,Operatives,,6.688963,1.900458855,16,12.09615,0.8333333,0,1,
324,44,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,,5.852843,1.766927526,25,7.365385,0.9166667,0,1,
325,34,0,1,12,0,1,SMSA,0,Transport/Comm/Utility,Laborers,1,4.613526,1.528992424,60,16.11539,3.25,0,1,0
327,38,0,0,9,0,0,SMSA,1,Business/Repair Svc,Laborers,0,4.025765,1.392714955,30,3.852564,,0,1,1
329,42,0,1,14,0,0,SMSA,1,Professional Services,Professional/technical,1,12.18196,2.499956169,40,19.07692,2.5,0,0,0
330,43,0,0,16,1,1,nonSMSA,0,Professional Services,Sales,1,4.750401,1.558229036,40,16.11539,0.6666667,16.11539,0,0
331,37,0,0,15,0,0,SMSA,1,Manufacturing,Operatives,1,8.05153,2.085862135,40,13.39744,12.41667,0,0,0
332,36,0,1,9,0,0,SMSA,1,Manufacturing,Operatives,0,7.447664,2.007900426,40,10.90385,4.75,0,0,1
333,35,1,0,16,1,0,SMSA,1,Professional Services,Professional/technical,1,8.518515,2.14224203,40,13.76923,11.5,13.76923,0,0
338,41,1,0,14,0,0,nonSMSA,0,Professional Services,Sales,0,7.246377,1.98050162,18,9.019231,1.333333,0,1,1
341,41,1,0,14,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,11.97262,2.482622376,40,17.60256,6.166667,0,0,1
345,45,1,0,12,0,0,SMSA,0,Professional Services,Sales,0,8.80837,2.175702406,32,10.19872,5.083333,0,1,1
347,36,1,0,14,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,0,11.07085,2.404315528,40,17.09615,17,0,1,1
350,39,1,0,14,0,0,SMSA,0,Professional Services,Professional/technical,0,9.677936,2.269848655,40,16.51923,2.416667,0,0,1
352,35,1,0,13,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,3.542671,1.264880962,20,14.36539,14.16667,0,1,1
354,36,0,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Laborers,0,4.420288,1.486204852,35,7.128205,2.5,0,1,1
356,43,1,0,16,1,0,SMSA,0,Business/Repair Svc,Managers/admin,0,7.318838,1.990451572,40,10.40385,9.75,10.40385,1,1
358,45,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,0,8.05153,2.085862135,40,24.47436,17.41667,0,1,1
359,44,1,0,14,0,0,SMSA,0,Professional Services,Professional/technical,0,10.83736,2.382999424,40,15.05769,6,0,1,1
360,37,1,0,12,0,0,SMSA,1,Manufacturing,Sales,,38.70926,3.656078848,40,15.24359,10.75,0,1,
363,41,0,0,12,0,0,SMSA,0,Manufacturing,Managers/admin,0,9.895326,2.292062524,36,11.60256,9.25,0,1,1
367,37,1,0,13,0,0,nonSMSA,0,Professional Services,Sales,1,10.35426,2.337398029,35,8.083333,8.083333,0,1,0
376,41,0,0,12,0,0,SMSA,0,Manufacturing,Sales,0,11.50563,2.442836481,42,17.50641,17.5,0,1,1
377,38,1,0,16,1,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,0,23.82447,3.170713204,65,13.5641,3.833333,13.5641,1,1
379,43,0,1,13,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,7.552333,2.021856522,40,21.73718,20.16667,0,1,1
382,42,0,0,12,0,0,SMSA,0,Public Administration,Managers/admin,1,7.962963,2.074801167,35,21.32693,1.583333,0,1,0
384,41,1,0,13,0,0,SMSA,0,Professional Services,Other,0,4.830918,1.575036512,25,7.134616,,0,1,1
389,40,1,0,14,0,0,SMSA,0,Professional Services,Sales,0,5.466986,1.698727459,15,1.75,0.0833333,0,1,1
392,43,1,0,8,0,0,SMSA,0,Manufacturing,Operatives,1,8.05153,2.085862135,40,8.865385,2.75,0,1,0
395,36,0,1,16,1,0,nonSMSA,0,Manufacturing,Clerical/unskilled,0,6.545891,1.878837525,40,16.36539,13.75,16.36539,1,1
396,37,1,0,14,0,0,SMSA,0,Professional Services,Laborers,0,3.260869,1.181993724,32,13.71154,1.916667,0,1,1
397,37,1,0,13,0,0,SMSA,0,Manufacturing,Sales,0,4.830918,1.575036512,20,12.94231,0.75,0,1,1
398,35,1,0,16,1,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,0,8.413847,2.129878801,40,11.40385,6.416667,11.40385,1,1
399,37,1,0,16,1,0,SMSA,0,Manufacturing,Managers/admin,0,16.52979,2.805164208,40,16.76923,0,16.76923,1,1
402,36,1,0,12,0,0,SMSA,0,Manufacturing,Operatives,1,6.175522,1.820593413,40,13.58974,9.25,0,1,0
403,40,0,1,12,0,0,SMSA,0,Public Administration,Sales,0,5.732688,1.746184531,40,10.5,10.5,0,1,1
406,36,1,0,12,0,0,SMSA,0,Manufacturing,Sales,0,6.280193,1.837400712,40,13.19872,0.5,0,1,1
407,37,1,0,18,1,0,nonSMSA,0,Professional Services,Professional/technical,,1.032247,0.03173798,15,9.307693,4.583333,9.307693,1,
409,36,1,0,14,0,0,SMSA,1,Professional Services,Sales,,5.958131,1.784756841,26,12.00641,1.666667,0,1,
410,43,0,0,14,0,0,nonSMSA,0,Professional Services,Professional/technical,0,10.18518,2.320933723,42,11.9359,2.5,0,1,1
414,36,1,0,16,1,0,SMSA,0,Finance/Ins/Real Estate,Sales,0,5.515297,1.707525504,39,15.10897,5.5,15.10897,1,1
415,35,0,1,15,0,0,SMSA,0,Professional Services,Professional/technical,0,5.789049,1.755968029,50,9.269231,3.333333,0,1,1
417,34,1,0,12,0,0,SMSA,0,Personal Services,Laborers,0,3.344482,1.207311824,20,7.839744,0.1666667,0,1,1
419,36,1,0,12,0,0,SMSA,0,Manufacturing,Sales,0,6.280193,1.837400712,40,8.5,2.333333,0,1,1
422,36,0,1,11,0,0,SMSA,0,Personal Services,Transport,0,1.723027,0.544082628,35,12.58974,7.166667,0,1,1
423,42,0,0,12,0,1,nonSMSA,0,Personal Services,Managers/admin,0,3.486621,1.248933072,30,12.45513,5.166667,0,1,1
425,34,0,0,12,0,0,nonSMSA,0,Manufacturing,Operatives,,3.637123,1.291192985,40,8.807693,1,0,1,
426,40,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Laborers,0,2.681159,0.986249164,30,1.128205,0.4166667,0,1,1
429,43,1,0,13,0,1,SMSA,0,Professional Services,Sales,0,7.745568,2.047120809,40,5.852564,3.083333,0,1,1
431,36,0,1,16,1,0,nonSMSA,0,Public Administration,Professional/technical,1,11.40902,2.434404271,38,15.97436,8.333333,15.97436,1,0
432,37,1,0,12,0,0,SMSA,0,Manufacturing,Operatives,0,7.037035,1.951186917,55,9.217949,6.75,0,1,1
433,43,1,0,13,0,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,0,6.658612,1.895911054,40,13.27564,1.833333,0,1,1
434,34,0,1,12,0,0,SMSA,0,Personal Services,Laborers,,3.051839,1.11574436,30,6.916667,1.166667,0,1,
436,37,1,0,12,0,0,SMSA,0,Public Administration,Sales,0,7.850241,2.060544232,40,18.25,18.25,0,1,1
440,37,1,0,11,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,0,8.148145,2.097790294,38,13.28846,2.833333,0,1,1
441,42,1,0,9,0,0,SMSA,0,Personal Services,Laborers,0,7.246377,1.98050162,16,1.923077,0.0833333,0,1,1
443,37,1,0,13,0,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,0,5.636071,1.729187192,20,10.91667,1.75,0,1,1
447,39,1,0,12,0,0,SMSA,0,Professional Services,Managers/admin,0,11.04669,2.402130836,37,14.1859,4,0,1,1
448,38,0,0,16,1,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,0,11.6264,2.453278374,45,9.211538,4.166667,9.211538,1,1
449,45,1,0,14,0,0,SMSA,0,Professional Services,Sales,0,8.623189,2.15445497,42,8.807693,6.916667,0,1,1
450,39,1,0,14,0,0,nonSMSA,0,Professional Services,Professional/technical,0,11.25418,2.420739615,20,17.67308,10.75,0,1,1
451,40,0,0,10,0,0,SMSA,0,Wholesale/Retail Trade,Laborers,0,5.241545,1.656616302,43,5.775641,5.75,0,1,1
455,39,1,0,13,0,0,SMSA,1,Personal Services,Laborers,0,9.202893,2.219517891,7,10.96154,2,0,1,1
456,36,1,0,12,0,0,SMSA,1,Wholesale/Retail Trade,Operatives,,3.762542,1.325094793,30,7.038462,0.3333333,0,1,
457,38,1,0,14,0,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,,35.73162,3.576036011,45,9.557693,2.333333,0,1,
459,38,0,1,8,0,0,SMSA,0,Professional Services,Laborers,,5.852843,1.766927526,30,19.19231,9.666667,0,1,
460,42,1,0,13,0,0,nonSMSA,0,Ag/Forestry/Fisheries,Sales,,3.099125,1.131119814,3,6.903846,1.5,0,1,
467,41,0,0,14,0,0,nonSMSA,0,Public Administration,Sales,1,7.238324,1.979389688,40,17.46154,8.333333,0,1,0
469,35,0,0,11,0,0,nonSMSA,0,Public Administration,Sales,0,6.771333,1.912697966,48,15.44872,9.916667,0,1,1
474,35,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,2.858293,1.050224593,20,7.275641,1.583333,0,1,1
477,42,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,3.099838,1.131349852,30,10.35256,2.25,0,1,1
478,38,1,0,12,0,0,SMSA,0,Professional Services,Sales,0,6.586145,1.8849682,32,5.897436,1.833333,0,1,1
481,37,1,0,12,0,0,nonSMSA,0,Professional Services,Sales,1,8.293073,2.115420588,38,14.5,7.333333,0,1,0
483,42,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,5.032206,1.615858457,40,5.75641,3,0,1,1
