id,wage,lwage,educ,exper,exper2,female,urban
195,17.94,2.8871,16,14.3,204.92,0,1
196,6.64,1.8936,12,13.0,169.97,0,0
197,10.9,2.3885,13,10.6,112.54,0,0
198,7.79,2.0529,9,17.4,303.72,0,1
199,13.02,2.5663,14,5.9,35.32,0,1
200,15.32,2.7291,11,19.0,361.87,1,0
201,13.96,2.6361,12,6.8,46.15,0,1
202,69.97,4.2481,17,27.6,760.79,1,1
203,21.04,3.0465,16,15.3,233.53,1,0
204,9.3,2.2302,11,6.9,47.33,1,1
205,6.58,1.8836,12,0.0,0.0,0,1
206,6.76,1.9104,12,18.1,327.7,1,1
207,14.29,2.6595,15,9.2,84.29,1,1
208,5.63,1.7287,12,0.0,0.0,1,1
209,32.98,3.4959,12,20.9,435.02,0,1
210,7.98,2.0771,11,6.8,46.57,0,1
211,12.27,2.5072,15,6.3,39.87,0,1
212,16.83,2.8231,17,14.1,199.74,1,0
213,10.12,2.3142,14,7.9,62.87,0,0
214,15.21,2.7218,14,8.0,63.49,1,1
215,21.88,3.0856,12,16.8,280.67,1,0
216,23.2,3.1441,14,14.5,209.86,0,0
217,14.05,2.6427,15,3.9,15.16,0,1
218,15.39,2.7336,12,22.2,493.65,1,0
219,20.54,3.0222,9,22.0,484.87,0,1
220,12.26,2.5066,13,2.1,4.44,0,1
221,12.09,2.492,10,15.0,224.13,1,0
222,10.64,2.3648,14,21.1,443.23,0,0
223,11.45,2.4376,14,5.8,33.26,0,0
224,13.3,2.5875,14,12.6,157.8,0,1
225,17.82,2.8802,14,12.4,152.79,0,0
226,37.01,3.6112,20,13.7,188.36,1,1
227,14.21,2.6539,9,17.8,318.46,1,1
228,11.22,2.4178,12,12.1,145.64,0,1
229,10.1,2.313,13,22.5,506.89,1,0
230,11.5,2.4426,15,10.1,102.63,0,0
231,16.88,2.8264,15,15.9,251.35,0,0
232,12.22,2.5029,12,18.3,336.45,0,0
233,13.77,2.6223,12,14.3,205.23,1,0
234,30.05,3.4029,17,17.6,308.7,0,1
235,48.14,3.8741,18,21.7,471.71,0,1
236,24.18,3.1857,17,15.7,247.59,0,1
237,12.03,2.4871,15,19.2,366.74,0,0
238,17.82,2.8803,13,10.6,112.11,1,1
239,6.41,1.858,12,5.6,31.84,1,0
240,14.7,2.6878,15,13.1,172.64,0,0
241,15.31,2.7286,15,12.1,147.06,1,1
242,8.87,2.1823,10,7.1,50.75,1,1
243,17.46,2.8602,16,13.2,174.09,0,1
244,12.65,2.5379,11,13.3,176.21,0,1
245,11.72,2.4613,11,10.1,101.74,0,1
246,11.3,2.4247,14,13.1,171.55,0,0
247,20.61,3.0257,15,13.9,192.05,0,1
248,18.37,2.9106,14,13.5,181.63,1,1
249,18.78,2.9327,15,18.1,326.5,0,1
250,23.22,3.145,14,19.9,395.19,0,1
251,15.05,2.7113,9,10.8,115.83,0,1
252,12.64,2.5365,11,14.5,211.63,1,1
253,13.35,2.5917,15,7.9,62.4,0,0
254,15.9,2.7664,11,14.1,198.78,0,1
255,6.01,1.7931,10,4.8,22.59,1,1
256,24.79,3.2103,15,26.0,676.79,0,1
257,14.23,2.6553,14,20.8,431.7,0,0
258,12.65,2.5379,13,20.1,403.7,1,0
259,9.98,2.3002,15,16.1,258.19,1,1
260,14.7,2.6875,16,16.3,264.88,0,1
261,16.6,2.8094,15,10.3,105.17,0,1
262,13.5,2.6027,11,14.4,208.24,1,0
263,12.3,2.5099,15,4.8,23.5,0,0
264,21.35,3.0611,13,19.4,377.59,1,1
265,22.35,3.1067,15,14.0,197.12,0,0
266,10.03,2.3056,13,0.3,0.09,0,1
267,39.77,3.6831,14,21.8,475.12,0,0
268,8.99,2.196,9,15.1,228.58,1,0
269,47.21,3.8547,16,22.2,492.78,1,1
270,8.33,2.1202,11,21.8,474.62,0,0
271,11.87,2.4741,13,0.0,0.0,0,1
272,17.46,2.86,13,7.9,62.22,0,1
273,16.97,2.8314,17,13.9,193.15,0,0
274,22.59,3.1175,15,13.6,185.19,1,1
275,7.39,1.9997,13,11.1,122.99,1,0
276,10.87,2.3863,11,7.5,56.78,1,1
277,35.98,3.5829,17,19.4,376.12,0,0
278,13.3,2.588,14,14.8,220.21,0,1
279,22.77,3.1256,12,11.3,128.59,0,1
280,10.25,2.3268,13,3.6,12.91,1,1
281,18.59,2.9226,17,13.9,193.77,1,0
282,16.16,2.7827,12,15.7,245.75,0,0
283,30.16,3.4065,14,18.0,325.21,1,0
284,10.7,2.3706,11,8.3,69.22,0,1
285,10.73,2.373,11,6.5,42.45,1,1
286,12.35,2.5139,11,5.1,25.86,0,1
287,13.33,2.5899,13,7.7,58.73,1,1
288,10.4,2.3421,12,19.2,367.08,0,1
289,5.89,1.7734,10,5.7,32.89,1,0
290,15.51,2.7415,14,12.9,166.45,0,1
291,16.79,2.8211,16,10.6,112.48,1,0
292,15.97,2.7706,15,11.8,139.52,1,1
293,9.22,2.2215,10,4.1,17.1,0,0
294,18.92,2.94,15,13.4,179.73,0,0
295,17.86,2.8824,13,10.5,110.82,1,1
296,11.02,2.3994,12,20.6,425.52,0,0
297,16.17,2.783,18,6.4,41.26,0,0
298,72.23,4.2799,20,16.1,259.19,0,1
299,24.48,3.1978,16,13.7,187.19,0,1
300,15.06,2.7123,13,5.1,25.52,1,1
301,15.45,2.7375,15,1.8,3.21,0,1
302,22.0,3.0909,12,19.3,374.34,1,0
303,34.97,3.5546,19,7.1,51.04,1,0
304,16.72,2.8164,14,6.0,35.8,0,1
305,18.64,2.9251,13,24.9,621.4,0,1
306,8.89,2.1847,9,18.7,348.63,0,0
307,9.82,2.2843,12,12.1,147.11,1,1
308,11.73,2.4624,14,8.2,67.66,1,0
309,23.02,3.1366,17,8.1,65.94,1,0
310,10.72,2.372,13,4.1,16.65,1,1
311,21.15,3.0517,14,15.4,235.77,1,1
312,12.0,2.4845,15,2.5,6.44,1,1
313,14.37,2.6654,12,12.5,156.9,1,1
314,10.68,2.3682,11,25.4,647.59,1,0
315,14.59,2.6801,12,11.7,137.29,0,1
316,10.06,2.3088,14,9.4,87.84,0,0
317,30.28,3.4104,16,15.1,227.12,1,1
318,6.59,1.8862,10,5.4,29.41,1,1
319,8.4,2.1281,14,0.0,0.0,1,1
320,7.94,2.0714,12,8.0,63.86,0,1
321,8.1,2.0921,13,12.0,144.46,1,1
322,10.6,2.3611,17,3.2,10.1,1,1
323,10.25,2.327,14,11.6,134.51,1,0
324,8.95,2.1917,11,5.4,29.31,1,1
325,13.86,2.629,13,9.2,84.69,1,0
326,15.39,2.7336,16,3.8,14.29,1,1
327,29.82,3.3951,16,17.1,291.09,0,0
328,11.1,2.4068,17,7.5,56.28,1,1
329,6.89,1.9299,10,6.9,48.28,1,1
330,43.7,3.7773,17,21.8,474.79,0,0
331,15.09,2.714,10,5.9,34.3,0,1
332,16.06,2.7764,15,1.8,3.07,1,1
333,13.94,2.6346,18,14.3,203.2,0,0
334,8.36,2.1231,10,7.5,56.32,0,0
335,9.08,2.2061,9,3.5,12.14,1,1
336,7.86,2.0619,13,0.0,0.0,1,0
337,7.71,2.0427,11,11.3,126.99,0,1
338,20.59,3.0248,14,13.9,191.99,1,1
339,15.65,2.7504,15,11.4,129.53,0,1
340,12.46,2.5223,14,0.0,0.0,0,0
341,12.79,2.5489,12,13.9,193.23,0,1
342,13.69,2.6165,16,19.0,362.2,1,0
343,11.34,2.428,11,17.5,307.06,1,0
344,7.08,1.9576,15,0.5,0.25,0,1
345,13.12,2.5745,13,8.7,75.81,1,0
346,12.61,2.5347,20,6.7,45.49,1,1
347,16.59,2.8089,13,10.9,119.23,0,1
348,7.05,1.9524,11,12.1,146.06,1,0
349,16.05,2.7759,15,17.8,317.49,0,1
350,5.91,1.7761,12,0.0,0.0,1,1
351,16.99,2.8329,15,12.6,158.42,0,0
352,7.93,2.0713,12,1.1,1.2,1,0
353,7.88,2.0647,11,4.5,20.22,1,1
354,9.31,2.2314,13,6.4,40.55,0,1
355,9.27,2.2266,12,4.5,19.85,0,0
356,21.22,3.0552,13,15.1,229.15,0,1
357,18.13,2.8977,15,15.0,225.0,0,0
358,19.02,2.9455,15,18.2,332.42,1,0
359,19.1,2.9495,18,6.9,47.79,0,1
360,6.89,1.9304,12,5.7,32.8,1,0
361,11.86,2.4735,14,10.3,105.26,1,1
362,18.55,2.9207,11,7.6,57.21,0,1
363,12.27,2.5073,12,15.3,233.89,1,1
364,24.71,3.2073,14,16.0,256.84,0,1
365,10.24,2.3265,11,13.2,175.43,1,1
366,15.57,2.7456,13,20.4,417.78,1,1
367,15.05,2.7115,14,6.9,47.02,0,0
368,11.24,2.4193,12,23.7,562.72,1,1
369,6.57,1.8827,9,13.7,187.66,0,0
370,11.56,2.4477,14,13.5,182.63,1,1
371,12.02,2.4865,16,1.4,1.94,0,1
372,11.12,2.409,12,10.9,117.91,1,0
373,12.8,2.5492,14,3.8,14.32,1,0
374,10.92,2.391,15,17.2,295.72,0,1
375,12.05,2.4894,12,14.7,215.3,0,0
376,32.5,3.4811,16,24.7,609.22,0,1
377,15.99,2.7717,16,7.5,55.69,1,1
378,8.18,2.1011,13,6.1,37.26,1,0
379,14.35,2.664,16,0.3,0.08,1,1
380,9.44,2.2453,14,4.7,22.22,0,0
381,12.97,2.5624,15,7.0,49.32,1,0
382,7.89,2.0659,12,2.7,7.25,1,0
383,10.49,2.3505,13,14.9,222.28,1,0
384,8.57,2.1488,14,6.2,38.66,1,0
385,9.26,2.2262,13,0.0,0.0,0,0
386,22.65,3.12,11,25.8,667.79,0,1
387,11.61,2.4519,16,1.3,1.58,1,0
388,18.83,2.9354,12,12.6,159.87,1,0
389,12.44,2.5212,15,1.7,2.99,0,0
390,6.75,1.9102,10,6.1,37.19,0,1
391,10.3,2.3319,10,6.1,37.64,0,0
392,8.05,2.0856,14,2.5,6.5,0,0
393,30.55,3.4194,15,20.7,428.44,0,1
394,31.59,3.4529,16,21.8,473.71,0,1
395,19.18,2.9539,17,15.4,236.4,0,1
396,18.63,2.9248,14,12.6,157.55,1,0
397,14.65,2.6847,13,9.6,92.78,0,1
398,10.83,2.3819,14,10.1,101.57,1,0
399,26.46,3.2758,13,11.8,140.35,0,1
400,33.01,3.4969,17,17.5,306.21,0,1
401,20.04,2.9979,11,17.9,319.05,0,1
402,12.54,2.5292,11,7.4,54.32,0,1
403,41.29,3.7206,20,11.6,134.91,0,1
404,11.77,2.4652,13,10.0,100.14,0,0
405,23.66,3.1637,15,17.8,315.46,0,0
406,10.92,2.3902,12,18.6,347.06,1,1
407,25.65,3.2447,18,13.7,186.72,0,1
408,16.19,2.7847,15,7.9,61.88,1,0
409,31.02,3.4345,15,15.7,245.81,0,0
410,9.17,2.2163,11,18.0,324.25,0,0
411,17.25,2.8478,17,8.0,63.48,0,1
412,9.49,2.2503,11,25.7,660.67,0,0
413,23.81,3.17,13,14.4,206.75,1,1
414,18.45,2.9152,13,9.2,85.2,0,1
415,9.83,2.2859,12,8.7,75.44,0,1
416,14.69,2.6874,9,17.1,293.19,0,1
417,16.18,2.7839,16,7.6,58.51,1,1
418,14.81,2.6954,12,19.7,386.21,0,1
419,6.5,1.8713,11,0.0,0.0,1,0
420,17.16,2.8426,12,10.8,116.96,1,0
421,14.53,2.6764,14,0.0,0.0,1,0
422,15.55,2.7442,15,9.2,83.8,0,1
423,10.21,2.3238,15,0.0,0.0,1,1
424,16.16,2.7825,15,17.2,295.95,0,1
425,14.19,2.6528,14,16.3,266.6,1,1
426,25.72,3.2472,14,18.6,346.68,0,1
427,10.19,2.3215,11,4.4,19.05,0,1
428,14.35,2.6634,15,0.7,0.51,1,0
429,16.22,2.786,13,6.9,48.21,0,0
430,7.52,2.0173,9,10.4,108.38,0,1
431,12.93,2.5595,12,15.6,243.61,0,0
432,11.51,2.4435,15,0.0,0.0,0,0
433,15.66,2.751,16,3.0,8.87,0,1
434,11.7,2.4598,15,3.9,14.99,1,1
435,13.32,2.5896,13,8.1,65.35,0,1
436,11.28,2.4232,9,11.6,135.54,1,0
437,7.97,2.0761,10,0.0,0.0,0,1
438,13.59,2.6096,17,14.2,201.8,0,1
439,11.94,2.4803,15,19.9,395.63,1,1
440,16.27,2.7895,12,15.0,226.21,0,1
441,11.54,2.4462,13,1.4,1.88,0,1
442,24.66,3.2052,15,15.0,224.02,0,1
443,12.56,2.5304,15,10.4,109.17,0,1
444,35.51,3.5698,17,13.9,194.48,0,1
445,27.81,3.3254,15,12.0,143.95,0,0
446,23.28,3.1475,14,26.6,710.18,1,1
447,12.67,2.5394,14,4.6,21.12,1,0
448,13.8,2.6244,13,10.8,116.46,1,1
449,22.79,3.1265,18,10.3,105.29,1,0
450,17.64,2.8699,15,11.2,124.75,1,0
451,14.82,2.6957,14,7.5,56.74,0,1
452,30.64,3.4224,16,11.4,130.68,0,1
453,15.96,2.77,15,7.3,52.65,0,0
454,73.22,4.2935,15,25.2,634.01,1,1
455,10.33,2.3352,15,10.3,105.74,1,0
456,10.34,2.3364,14,0.0,0.0,1,1
457,12.71,2.5427,14,11.6,135.09,1,1
458,11.82,2.4698,15,6.9,48.24,0,1
459,16.03,2.7744,16,13.1,170.8,0,1
460,10.67,2.367,11,4.7,21.77,0,0
461,22.46,3.1118,15,17.0,287.51,0,1
462,10.24,2.3266,12,10.7,113.74,0,1
463,10.52,2.353,12,12.7,160.68,0,1
464,12.14,2.4964,12,9.9,98.29,0,1
465,30.97,3.4329,15,8.7,76.54,0,0
466,16.86,2.8251,15,6.3,39.72,0,1
467,23.11,3.1404,13,14.7,216.51,1,0
468,18.89,2.9386,14,8.6,74.56,1,1
469,17.44,2.8588,12,20.4,417.06,0,1
470,17.05,2.836,10,21.6,467.0,1,1
471,18.24,2.9038,18,21.0,440.91,1,0
472,5.94,1.7824,14,9.1,83.5,1,0
473,22.57,3.1168,13,13.2,173.12,1,0
474,13.24,2.5836,14,12.5,157.2,0,0
475,12.15,2.4975,14,8.9,79.95,1,1
476,10.43,2.3445,13,15.8,250.59,1,1
477,17.52,2.8634,13,21.6,467.36,1,1
478,14.47,2.6721,14,3.9,15.28,1,1
479,12.29,2.5086,14,14.6,214.36,1,1
480,19.43,2.9668,13,5.7,33.04,1,1
481,8.81,2.1757,14,0.3,0.12,1,1
482,27.47,3.3132,17,21.6,464.58,1,0
483,13.71,2.6178,14,11.1,123.32,0,1
484,10.72,2.3718,10,18.6,347.14,0,1
485,20.04,2.9976,14,16.0,255.89,0,0
486,25.01,3.2194,15,24.0,576.66,0,0
487,11.06,2.4036,13,21.9,478.55,1,1
488,12.38,2.5159,9,23.1,535.46,0,0
489,9.15,2.2132,14,7.2,51.62,0,1
490,18.45,2.9151,15,10.8,115.96,1,0
491,21.56,3.0708,15,12.4,152.82,0,0
492,6.66,1.8956,13,15.5,240.7,0,1
493,21.22,3.0551,16,20.3,412.71,1,0
494,19.62,2.9764,14,12.4,153.98,1,1
495,12.07,2.4907,13,11.5,132.45,0,1
496,13.46,2.6,13,6.5,42.73,0,0
497,10.62,2.3626,13,15.5,239.21,0,1
498,20.41,3.0159,14,11.5,131.83,1,1
499,13.69,2.617,14,2.7,7.53,1,0
500,13.73,2.6198,13,18.4,338.53,1,1
501,10.91,2.3896,13,14.2,201.91,1,0
502,20.76,3.0331,16,17.3,298.19,0,1
503,11.48,2.4404,11,16.7,280.21,1,1
504,7.71,2.0423,9,4.3,18.67,0,1
505,10.89,2.3881,15,14.7,216.96,1,0
506,10.74,2.3737,15,8.8,77.26,0,0
507,20.99,3.0439,11,23.0,530.47,0,1
508,17.72,2.8746,17,10.7,114.09,0,1
509,9.7,2.2724,12,3.8,14.63,0,0
510,11.94,2.4802,14,0.0,0.0,0,1
511,13.36,2.5922,13,9.2,84.4,1,0
512,8.53,2.144,15,1.4,2.1,1,0
513,6.74,1.9074,11,4.3,18.79,0,0
514,11.61,2.4521,11,21.6,466.08,1,0
515,15.16,2.719,16,2.9,8.58,1,1
516,8.15,2.0982,12,8.2,67.67,1,1
517,15.17,2.7194,12,18.9,355.56,1,1
518,10.94,2.3926,13,20.5,422.01,1,1
519,8.79,2.1738,12,9.9,97.54,0,1
520,12.36,2.5147,12,19.1,365.47,1,1
521,17.85,2.8822,10,8.9,79.11,0,0
522,24.5,3.1988,15,24.2,583.83,1,0
523,10.33,2.3349,9,18.5,343.64,1,0
524,7.48,2.0127,13,0.0,0.0,1,0
525,14.1,2.6461,15,9.5,89.61,1,1
526,14.06,2.6431,14,12.5,155.09,0,0
527,14.95,2.7046,14,2.9,8.16,1,1
528,12.46,2.5223,14,0.0,0.0,0,0
529,16.86,2.8252,12,13.7,187.72,1,1
530,17.72,2.8748,16,15.9,254.09,1,1
531,17.63,2.8695,12,22.4,500.69,0,1
532,9.75,2.2774,14,0.0,0.0,1,0
533,28.16,3.3379,19,17.8,316.61,0,1
534,9.94,2.2965,13,9.1,82.45,1,1
535,8.58,2.1493,15,1.1,1.18,1,0
536,15.21,2.7217,12,10.6,112.74,0,0
537,16.14,2.7816,14,17.8,317.82,0,1
538,11.11,2.4083,14,0.0,0.0,1,1
539,19.74,2.9824,14,12.4,153.6,1,0
540,10.39,2.3407,14,0.0,0.0,0,1
541,7.81,2.0552,13,3.5,12.47,1,1
542,22.27,3.1033,14,5.9,35.14,0,1
543,10.77,2.3763,11,9.2,84.69,0,0
544,19.96,2.9937,16,8.7,74.99,0,1
545,17.52,2.8635,9,20.1,402.83,1,1
546,18.4,2.9121,14,19.3,374.28,0,0
547,17.5,2.8624,12,25.9,671.13,0,1
548,15.21,2.7222,16,19.9,395.34,1,0
549,9.03,2.2006,14,4.1,16.57,0,0
550,16.16,2.7822,12,18.0,325.22,1,1
551,12.55,2.5297,15,4.9,23.82,1,0
552,18.14,2.8982,13,12.8,163.39,1,0
553,29.6,3.3878,16,15.5,240.88,0,1
554,26.9,3.2922,15,12.4,154.95,0,0
555,10.18,2.32,14,14.8,219.96,1,0
556,12.18,2.4994,13,5.2,26.7,0,0
557,9.31,2.2306,15,7.2,51.27,1,0
558,22.44,3.1106,11,18.5,342.23,0,1
559,11.68,2.4576,11,10.9,119.05,0,0
560,15.14,2.717,12,8.1,65.12,0,1
